RECIPE_ID,RECIPE_NM_KO,SUMRY,SERVINGS,TY_NM,COOKING_TIME,LEVEL_NM,INGREDIENT_FULL,STEP_TEXT,STEP_TIP
6847470,담백한 새우연두부달걀탕,,2.0,국/탕,15.0,아무나,"{'연두부': '1팩', '새우': '10-12마리', '달걀': '1개', '송송': '썬 쪽파 1-2줌', '다시마': '5cm x 5cm 1장', '간장': '1-1.5T'}","[""1. 우선 다시마물을 만들어요. 냄비에 물 붓고 다시마를 넣어 센 불에서 끓이다 끓어오르면 약불로 줄여 약 15분간 더 끓여주세요."", ""2. 15분 후, 다시마는 건져 내고"", ""3. 수저로 듬성듬성 연두부를 퍼서 냄비에 넣어주세요."", ""4. 그리고 새우 넣고 간장 1-1.5T 넣어주세요."", ""5. 센 불에서 약 5분간 팔팔 끓여주세요. 떠오르는 거품은 걷어주세요~"", ""6. 불을 약불로 줄이고 달걀물을 원을 그려가며 쪼로록 부어주세요. 달걀물이 바닥에 붙지 않도록 한번만 휘이 저어주세요."", ""7. 쪽파 올리고, 후추 톡톡하면 완성입니다. 간 보고 싱거우면 소금으로 간해주세요~""]","["""", """", """", """", """", """", """"]"
6902441,새우살로 만드는 얼큰한 새우탕 만들기,새우탕,2.0,국/탕,60.0,아무나,"{'냉동': '새우살 200g', '양파': '1/2개', '애호박': '1/2개', '대파': '1대', '청양고추': '2개', '다시마': '3장', '멸치': '7~10개', '물': '1L', '된장': '1큰술', '다진': '마늘 1큰술', '고춧가루': '2큰술', '액젓': '1큰술'}","[""1. · 멸치 다시 육수를 끓여줍니다 ( 저는 집에 다시팩이 있어서 넣어줬습니다 ) - 다시마 3장, 멸치 7~10개, 물 1L 넣고 끓이다가 물이 끓으면 다시마만 뻬 주고 7~10분간 더 끓여주세요"", ""2. · 냉동새우살은 흐르는 물에 2~3번 씻어내준 뒤 체에 밭쳐 물기를 빼 줍니다"", ""3. · 양파 채 썰고"", ""4. 대파는 쫑쫑 썰어줍니다"", ""5. · 애호박은 반달썰기로 썰어주고"", ""6. 취향에 따라 청양고추도 썰어줍니다"", ""7. · 육수가 준비가 되면 양파와 애호박 먼저 넣고"", ""8. · 된장 1 큰 술, 다진 마늘 1 큰 술, 고춧가루 2 큰 술 넣고 골고루 풀어주며 끓여주다가 양념이 골고루 풀어지면 새우와 대파, 청양고추를 넣어줍니다"", ""9. · 약 5분간 더 끓여주다가 간을 보고 액젓으로 간을 해줍니다 - 액젓 향을 싫어하시는 분들은 국간장으로 간해주세요"", ""10. 끓으면서 나오는 거품은 걷어주세요 :)"", ""11. 완성!!!"", ""12. 새우살로 만드는 간단하고 시원 얼큰한 새우탕""]","[""- 다시마 3장, 멸치 7~10개, 물 1L넣고 끓이다가 물이 끓으면 다시마만 뻬 주고 7~10분간 더 끓여주세요"", """", """", """", """", """", """", """", ""- 액젓 향을 싫어하시는 분들은 국간장으로 간해주세요"", """", """", """"]"
6915735,깔끔고소한 아침국~~들깨무국,들깨무국,2.0,국/탕,15.0,아무나,"{'채썬': '무 1컵', '대파': '1줄', '물': '3컵', '들깨가루': '3큰술', '소금': '1/2큰술', '참기름': '1큰술'}","[""1. 채썬 무를 냄비에 넣고, 소금1/2큰술,참기름1큰술을 넣고 볶아요."", ""2. 볶다보면 무에서 물이 살짝 나오죠?"", ""3. 물3컵을 붓고 끓여요. 생수인데도 국물이 벌써 뽀얗죠?^^"", ""4. 무가 익을정도로 끓으면 들깨까루3큰술 넣어요."", ""5. 파1줄도 썰어서 올려요. 마지막 간은 소금으로 하세요."", ""6. 한소끔 끓이고 그릇에 담아요.""]","["""", """", """", """", """", """"]"
6914749,감자어묵국 보들보들하게 즐기는 간단국요리,감자어묵국,4.0,국/탕,30.0,초급,"{'감자': '1개', '양파': '1/2개', '어묵': '100g', '대파': '15cm', '멸치육수': '7컵', '국간장': '1큰술', '다진마늘': '0.5큰술', '고춧가루': '약간', '소금': '약간', '후추': '약간'}","[""1. 물 7컵에 다시재료를 넣어주고 중약불에서 뭉근하게 끓여 육수를 내줍니다."", ""2. 감자와 양파는 채썰어주고, 어묵과 대파는 어슷 썰어주세요. 기호에 따라 청양고추 반개 분량을 총총 썰어 넣어주셔도 좋습니다."", ""3. 육수가 끓기 시작하면 감자를 먼저 넣어 중약불에서 5분간 끓여 익혀줍니다. 그리고 국간장 1큰술을 더해 기본적인 간을 맞춰주세요."", ""4. 감자가 반투명하게 익어가면 어묵과 양파, 대파를 넣어 끓여주세요."", ""5. 다진마늘 0.5큰술과 고춧가루를 살짝 더해줍니다."", ""6. 모든 재료가 고르게 익고 국물에서 맛이 배어나오기 시작하면 기호에 맞게 소금과 후추로 간을 조절해주고 감자어묵국을 마무리해줍니다."", ""7. 뜨끈하니 김 모락모락 올라오는 모습만 봐도 괜히 어깨에 힘이 흉~ 하고 풀리는 것 같은 감자어묵국입니다."", ""8. 보들보들, 따끈따끈. 자극적이지 않아 아침국으로 아주 좋아요!"", ""9. 속 편하게 달래주는 감자어묵국. 오늘도 맛있게 드시고 행복한 하루 되세요 :)""]","["""", ""기호에 따라 청양고추 반개 분량을 총총 썰어 넣어주셔도 좋습니다."", """", """", """", """", """", """", """"]"
6880695,소고기 배춧국 만들기 든든한 한끼로 제격!,소고기배추국,3.0,국/탕,30.0,아무나,"{'배추잎': '5~6장', '소고기국거리': '200g', '다진마늘': '1/2스푼', '파': '조금', '국간장': '1스푼', '맛술': '1스푼', '쌀뜨물': '3컵', '된장': '2스푼'}","[""1. 배추 반포기를 다?! 노노~~ 배추잎 5장 정도 뜯어서 칼로 먹기 좋게 썰어줍니다"", ""2. 대파도 송송~"", ""3. 집에 국거리 소고기가 있어서 함께 넣고 끓여줄꺼에요 고기+다진마늘 반스푼+국간장 반스푼 +맛술 혹은 소주 반스푼 조물조물~"", ""4. 잠시 대기!!!"", ""5. 쌀뜨물로 육수를 대신합니다 바글바글 끓기 시작하면"", ""6. 썰어둔 배추잎과 대파를 넣어줍니다 대파는 마지막에 넣으셔도 되는데 딸아이가 푹~익은 대파를 좋아해서 전 미리 넣어줬어요"", ""7. 물이 끓기 시작하면 집된장 한스푼 시판된장 한스푼 된장국의 간은 소금과 국간장이 아닌 된장으로 하는거라는 집밥 백선생님 말대로~ 싱거우면 된장을 더 넣어주시고 짜면 물을 더 부워주시면 되요~ 집된장의 씁쓸한 맛이랄까 이건 설탕 3꼬집 정도 넣으면 잡히더라구요"", ""8. 된장풀고 재어둔 고기를 넣어줍니다"", ""9. 바글바글 끓기 시작하면 불순물들이 떠오르는데 스푼으로 제거해주세요~"", ""10. 10분~15분 정도 중약불로 끓인뒤 드시면 됩니다 저는 전날 저녁에 이렇게 끓여 놓고 다음날 아침,점심,저녁~ 먹고 있어요 그럼 정~말 맛있어요!! 우리나라 국고 찌개는 오래 끓일수록 맛있다는말 완전 공감♡"", ""11. 야들야들~ 푹~ 익은 배추는 입에 넣으면 쉽게 뭉개지면서 달큰한 맛이 납니다 이래서 우리 딸아이도 입을 쩍쩍~ 벌리며 잘 받아 먹나봐요""]","["""", """", """", """", """", """", """", """", """", """", """"]"
6896204,수미네 반찬 :: 전주식 콩나물탕 / 해장하기 좋은 시원한 맛,콩나물탕,1.0,국/탕,60.0,초급,"{'콩나물': '150g', '다진마늘': '', '청양고추': '1/2개', '계란': '1개', '대파': '', '새우젓': '', '참깨': '', '고춧가루': '', '다시물': ''}","[""1. 콩나물은 깨끗이 씻어 준비해두고, 대파와 청양고추는 어슷어슷 썰어 준비해주세요."", ""2. 뚝배기 바닥에 다시 팩을 깔고 그 위에 콩나물을 가득 넣고 물(500ml)을 넣어 약 8분간 끓여주세요. 수미네 반찬에서는 다시물을 낼 때 디포리와 파뿌리, 멸치와 다시마를 사용했지만, 저는 그냥 집에 있던 멸치, 버섯, 다시마가 들어간 다시 팩을 사용했어요 ･ᴥ･"", ""3. 보글보글 콩나물이 끓어오르면 새우젓 1/2스푼, 다진 마늘 1/2스푼을 넣어 간을 맞춰주세요. 입맛에 맞춰 양을 조절하면 더 좋겠죠 ~? 새우젓 1/2스푼, 다진 마늘 1/2스푼"", ""4. 미리 준비해두었던 청양고추와 대파, 계란과 고춧가루도 넣어주세요. 노른자는 안 터트리는 센스!"", ""5. 재료들이 잘 어우러지도록 보글보글 한소끔 끓여주면 전주식 콩나물탕 완성٩(ˊᗜˋ*)و""]","["""", """", ""새우젓 1/2스푼, 다진 마늘 1/2스푼"", """", """"]"
6889370,간단하게 속편한 국 끓이기! 새우젓 연두부달걀국,,3.0,국/탕,30.0,아무나,"{'물': '500ml', '연두부': '1팩', '달걀': '2알', '양파': '1/4개', '새우젓': '1t', '소금': '약간', '송송': '썬 대파 적당량', '다시마': '5cm x 5cm 1장', '멸치': '8-10마리'}","[""1. 분량의 재료를 준비해주세요. 연두부는 먹기 좋은 크기로 썰고 양파는 채 썰어주세요. 연두부 1모, 달걀 2알, 양파 1/4개"", ""2. 달걀 2알은 소금 한꼬집 넣어 잘 풀어주세요. 달걀 2알, 소금 한꼬집"", ""3. 새우젓 1t는 종종 다져서 준비해주세요. 새우젓 1t"", ""4. 냄비에 물 약 500ml를 넣고 멸치, 다시마를 넣어 센불에서 끓이다 끓어오르면 중약불로 줄여 약 10분간 더 끓여주세요. 물 500ml, 멸치, 다시마 센불-중약불"", ""5. 약 10분 후, 다시마는 건져내고 채 썬 양파를 넣어 센불에서 약 3분간 끓여주세요. 채 썬 양파 센불"", ""6. 그 다음 연두부를 넣어주세요. 연두부 센불"", ""7. 끓어오르면 다진 새우젓 1t를 넣어주세요. 다진 새우젓 1t 센불"", ""8. 송송 썬 대파도 넣어주세요. 그리고 멸치는 이 단계에서 건져주세요! 송송 썬 대파 센불"", ""9. 그 다음 약불로 줄이고 달걀물을 원을 그려가며 넣고 달걀 2알 약불"", ""10. 불 끄고 냄비 뚜껑 덮어서 약 2-3분간 뜸들여 주세요."", ""11. 약 2-3분 후, 달걀이 익으면 부족한 간을 소금이나 새우젓으로 맞추면 완성입니다:) 소금, 새우젓""]","[""연두부 1모, 달걀 2알, 양파 1/4개"", ""달걀 2알, 소금 한꼬집"", ""새우젓 1t"", ""물 500ml, 멸치, 다시마"", ""채 썬 양파"", ""연두부"", ""다진 새우젓 1t"", ""송송 썬 대파"", ""달걀 2알"", """", ""소금, 새우젓""]"
6864119,배추어묵국 - 배추에서 나오는 시원한 국물 어묵국 끓이기,배추어묵국,2.0,국/탕,30.0,아무나,"{'배춧잎': '5~7장', '어묵': '2장', '대파': '약간', '멸치다마육수': '5컵', '된장': '0.5T', '참치액': '2T', '고춧가루': '0.5T'}","[""1. 배춧잎,어묵,대파를 썰어주고 배추 좋아 하심 많이 넣어주세요. 잘라 놓으면 많아 보이지만 막상 국에 넣으면 생각보다 그리 많은거 같지 않아요"", ""2. 냄비에 물 1.5L정도 부어주고 멸치육수를 끓여줍니다."", ""3. 완성된 멸치육수(5컵)에 된장을 0.5 풀어주고"", ""4. 썰어놓은 배추잎 넣고 5분정도 끓이다"", ""5. 어묵도 넣어주고"", ""6. 참치액2 그리고 고춧가루0.5를 넣어 주고 한소끔 더 끓여 주세요."", ""7. 마지막에 대파를 넣어 마무리 합니다. 드셔보시고 부족한 간은 소금으로 해주세요"", ""8. 국물이 시원한 배추 어묵국 완성이요 혹시 냉장고에 잠자고 있는 배추 있다면 배추를 넣어 시원한 어묵국 끓여보세요. 간단하지만 정말 맛이 좋답니다.""]","["""", """", """", """", """", """", """", """"]"
6945458,닭곰탕보다 더 맛있는 배추닭국 만들기+다대기 양념,배추닭국,6.0,국/탕,60.0,아무나,"{'볶음탕용': '닭한마리 1kg', '알배기배추': '1/2통', '대파': '1대', '양파': '1/2개', '통후추': '10알', '물': '1.8L', '참기름': '7큰술', '다진마늘': '1숟가락', '소금': '2~3큰술', '후추': '약간', '고춧가루': '3숟가락', '닭국물': '4숟가락', '국간장': '1숟가락'}","[""1. 재료는 간단해요~ 닭한마리와 알배추 반통, 대파 한대, 양파 반개를 준비해주세요~ 위 재료는 모두 필수입니다. 닭은 영계 두마리나 절단되지 않은 생닭을 사용해도 되지만 볶음탕용 닭을 사면 손질의 과정이 줄어 훨씬 편리해요~"", ""2. 닭은 손질할게요~ 닭껍질을 모두 제거하면 감칠맛이 덜하니 너무 꼼꼼히 떼어내진 말고 노랗고 하얀 지방이 뭉쳐져 있는 껍질들만 떼어내고"", ""3. 내장과 핏기를 꼼꼼히 제거하며 깨끗하게 하나하나 씻어 체에 밭쳐 물기를 빼두세요~"", ""4. 중강불로 냄비를 아주 뜨겁게 달군 후 참기름 넉넉히~ 7스푼 정도를 넣고 중강불"", ""5. 손질한 닭을 넣고 촤아아~ 치이익~ 구워주세요~닭의 물기 때문에 기름이 마구 튀어오르니 조심하시고 ^^ 뒤적여가며 고루 익혀줍니다"", ""6. 닭의 겉면이 모두 하얗게 익을때까지 구워주고 노릇하게 구워주면 더 좋아요~ 닭의 수분과 넉넉한 참기름 덕분에 타지 않으니 공들여 구우실 필요는 없어용~"", ""7. 구워진 닭에 물 1.8리터와 대파 한대, 양파 반개 통후추 10알을 넣고 센불을 켜주세요~ 물은 처음부터 많이 잡지 않고 적은양으로 진하게 우려줄거예요~ 냉동닭이나 잡내가 많이 나는 닭은 이 과정에서 소주 반컵정도 넣어 함께 끓입니다"", ""8. 끓어오르기 시작하는 거품에는 참기름이 많이 섞여있으니 걷지 마시고 중앙까지 팔팔 끓어오르면 거품을 걷어내고 뚜껑을 덮어 중불로 줄여 40분간 끓여요~ 중불"", ""9. 육수가 끓는 동안 알배추 반포기 큼직하게 숭덩숭덩 썰어놓고"", ""10. 고명용 대파 찹찹찹 썰고"", ""11. 고춧가루 3, 닭국물 4, 국간장 1, 다진마늘 1, 후추 톡톡 뿌려 섞어 양념다대기 만들어 둡니다."", ""12. 40분 후 양파, 대파, 통후추는 건져버리고 닭을 뼈만 바른다는 느낌으로 대충 찢어줍니다."", ""13. 뽀얀 닭국물에 찢은 닭과 배추 투하. 불은 중불. 중불 저기 보이는 노란기름은 참기름이니까 걷지마세용"", ""14. 보글보글 끓어오르면 다진마늘 듬뿍 봉긋하게 한스푼 넣고 10여분 더 끓여줍니다"", ""15. 배추가 익으면서 수분이 나오니까 물은 배추가 푹 익으면 저어보고 추가하세요~ 건더기파는 이대로 끝내도 되고 국물파이시면 물 두컵정도 더 넣으시면 돼요~"", ""16. 배추줄기 숨이 죽으면 마지막으로 간하기~ 간은 오로지 소금으로만~ 2~3스푼 정도, 입맛에 맞게 넣어줍니다."", ""17. 온기가 오래 가도록 뚝배기나 도자기 그릇에 옮겨담고 파 소복하게 올려 후추 솔솔 뿌려내면 끝~ 국밥처럼 밥을 함께 담아내도 좋아요"", ""18. 이보다 더 개운하고 진국일 순 없다. 만드는 과정도 들어가는 재료도 착한 닭배추국. 김치 종류만 바꿔주면 아침, 점심, 저녁 계속 먹어도 좋더라구요~"", ""19. 양념다대기 풀어 빨갛게도 먹고~ 칼국수면도 넣어 먹고, 나중에 숙주나 고사리, 고춧가루 팍팍 넣고 닭개장처럼도 즐길 수 있답니다~"", ""20. 한 솥 끓여 삼사일~ 반찬 걱정 안해도 되는 고마운 배추닭국 맛있게 드시고 따뜻하고 건강한 환절기 보내세요 :D""]","[""닭은 영계 두마리나 절단되지 않은 생닭을 사용해도 되지만 볶음탕용 닭을 사면 손질의 과정이 줄어 훨씬 편리해요~"", """", """", ""중강불"", """", """", ""냉동닭이나 잡내가 많이 나는 닭은 이 과정에서 소주 반컵정도 넣어 함께 끓입니다"", ""중불"", """", """", """", """", ""중불"", """", """", """", """", """", """", """"]"
6866586,아침국으로...두부김치계란탕,두부김치계란탕,2.0,국/탕,30.0,아무나,"{'계란': '3개', '소금': '약간', '대파': '초록부분 1/2대', '다진': '김치 1컵', '양파': '1/4개', '참기름': '1/2큰술', '두부': '200g', '다시마': '멸치육수 3컵', '국간장': '1큰술', '후추': '약간'}","[""1. 계란 3개, 소금 3꼬집, 대파 초록부분 1/2대를 쏭쏭 썰어 넣고 고루 잘 풀어 줍니다."", ""2. 냄비에 다진 김치 1컵, 양파 1/4개를 다져 넣고 참기름 1/2큰술로 고르게 볶아 주었습니다."", ""3. 참기름이 쏙 배도록 볶아지면 두부 200g을 넣고 으깨면서 고르게 볶아 줍니다."", ""4. 그리고 다시마 멸치육수 3컵을 붓고....."", ""5. 국간장 1큰술로 간을 하고 끓여 줍니다."", ""6. 끓으면서 생기는 거품은 한번 걷어 주었습니다. 그럴필요 없다고 하는데 본능적으로 걷어내고 싶네요~~"", ""7. 그리고 준비한 계란을 한 곳에 붓지 마시고 계란이 큰덩이로 뭉치지않게 고르게 둘러주면서 끊어 붓고 크게 한번 휘~ 저어 끓여 줍니다."", ""8. 부족한 간은 소금, 후추약간으로 해주세요~~""]","["""", """", """", """", """", """", """", """"]"
