RECIPE_ID,RECIPE_NM_KO,SUMRY,SERVINGS,TY_NM,COOKING_TIME,LEVEL_NM,INGREDIENT_FULL,STEP_TEXT,STEP_TIP
6915088,밥도둑 반찬 고추장 달걀조림 만들기!TV 알토란 레시피,고추장달걀조림,3.0,메인반찬,20.0,아무나,"{'달걀': '10개', '양파': '1개', '청양고추': '3개', '쪽파': '또는 대파 약간', '멸치육수': '1.5컵', '고추장': '2T', '고춧가루': '3T', '진간장': '4T', '설탕': '2T', '물엿': '3T', '참기름': '2T', '깨': '1T', '후추': '1ts'}","[""1. 먼저 물에 소금1T,식초1T를 섞어 달걀을 7-8분 반숙으로 삶아 줍니다."", ""2. 달걀이 삶아지는 동안 양파는 굵게 채 썰고 청양고추도 큼직큼직 썰어주셔요"", ""3. 달걀이 삶아지면 얼음물에 바로 행궈 껍질을 깔끔히 잘 벗겨 줍니다."", ""4. 참기름과 깨를 제외한 모든 양념을 한곳에 미리 섞어주셔요. 평소 단 것 싫으시면 설탕, 물엿은 조금 줄이셔도 됩니다"", ""5. 냄비에 멸치육수를 넣고 양념을 잘 풀어 주신뒤 끓여줍니다."", ""6. 양념이 끓기 시작하면 양파와 청양고추를 넣고 끓여줍니다."", ""7. 양념이 반정도 졸아들었다 싶을때 반숙달걀을 투하 해줍니다.이대로 약 2분정도 더 끓여주시면서 달걀에 색이 입혀지게 국물을 끼얹어 주세요"", ""8. 마지막으로 참기름 2T와 깨1T를 넣고 잘섞어주시고 쪽파를 고명으로 올려주시면 끝!"", ""9. 밥도둑 반찬 알토란 임성근님의 고추장 달걀조림 완성입니다^^"", ""10. 한번 먹어보니 촉촉한 반숙달걀에 매콤달콤 양념이 어우려져 넘 맛있네요.꼭 떡볶이 양념같은게 은근 중독성 있고 정말 짱짱짱!뜨끈한 밥에 비벼 먹으면 밥 한공기 뚝딱 하게 됩니다^^""]","["""", """", """", ""평소 단 것 싫으시면 설탕, 물엿은 조금 줄이셔도 됩니다"", """", """", """", """", """", """"]"
6913952,목우촌 집반찬 간편요리 마늘쫑 소시지 볶음,마늘쫑소시지볶음,2.0,메인반찬,30.0,초급,"{'프랑크소시지': '1개', '마늘쫑': '1단', '간장': '2', '올리고당': '1', '참기름': '1', '통깨': ''}","[""1. 프라임 꼬치구이 프랑크를 먹기좋은 크기로 썰어주세요."", ""2. 마늘쫑을 3~4cm 길이로 썰어주세요."", ""3. 펄펄 끓는물에 마늘쫑을 30초 데쳐주세요."", ""4. 소시지도 1분간 데쳐줍니다."", ""5. 후라이팬에 기름을 두르고 마늘쫑과 소시지를 넣고 볶아줍니다."", ""6. 간장2, 올리고당 1넣고 볶아줍니다"", ""7. 마늘쫑이 어느정도 숨이 죽으면 참기름1, 통깨를 뿌리고 조금 더 볶아주세요."", ""8. 어른아이 모두 좋아하는 반찬~ 마늘쫑 소시지 볶음완성!""]","["""", """", """", """", """", """", """", """"]"
6897374,꿀마늘 닭강정(아이들 단골메뉴 찜♡♡),마늘닭강정,4.0,메인반찬,30.0,초급,"{'닭봉': '500그램 1팩', '파프리카': '조금', '간장': '2숟가락', '설탕': '2숟가락', '꿀': '3숟가락', '마늘': '15개', '후추가루': '조금'}","[""1. 닭봉에 소금 1작은술 넣어 조물조물한 후에 20분정도 둬요"", ""2. 끓는물에 데쳐요"", ""3. 팬에 간장,설탕,마늘넣고 내용물 반정도 잠기게 물을 넣어요"", ""4. 뚜껑닫고 국물 반정도 될때까지 중불정도에서 끓여요"", ""5. 뚜껑연채로 꿀3숟가락.후추가루넣어요"", ""6. 국물이 없어지고 갈색될때까지 졸여요"", ""7. 파프리카넣어서 버물버물 마무리해요~ 저는 기본적으로 통깨 팍팍을 더 좋아해요~""]","["""", """", """", """", """", """", """"]"
6895591,쫄깃하고 맛있는 두부볶음 레시피!다이어트 요리로도 좋아요,두부볶음,2.0,메인반찬,30.0,초급,"{'부침용': '두부 1모', '다진마늘': '1T', '고추장': '깍아서 1T', '간장': '1T', '굴소스': '1/2T', '올리고당': '2T', '참기름': '1T', '깨': '1T'}","[""1. 먼저 두부는 얇은 두께로 썰어주시구요. 키친타올로 물기를 꾹꾹 눌러 제거해 줍니다. 두부는 찌개용이 아닌 단단한 부침용을 사용하세요"", ""2. 달궈진 팬에 기름을 두르신 후 중불에서 노릇노릇 구워 줍니다.조금 바짝 구워주셔야 고기같은 쫄깃한 식감이 됩니다."", ""3. 두부가 다 구워지면 팬에 기름 약간 두르고 다진마늘 1T를 약불에서 살짝 볶아 줍니다. 약불 T:성인 숟가락 기준"", ""4. 마늘이 약간 갈색빛이 나면 바로 물 3스푼을 부어 주세요"", ""5. 참기름과 깨를 제외한 모든 양념을 넣고 약불에서 한소금 끓여 줍니다."", ""6. 끓여진 양념에 구운 두부를 넣고 볶아주다가 참기름과 깨를 넣고 마무리 합니다! 이때 매콤한 것 좋아하심 청양고추를넣어 주셔요!"", ""7. 고기처럼 쫄깃쫄깃 맛있는 두부볶음 완성이에요"", ""8. 뜨끈한 밥에 올려 먹어보니 쫄깃한 식감에 매콤달콤 양념이 어우려져 참 맛있어요! 다이어트 중에도 맛있게 즐길수 있는 반찬인듯 합니다!""]","[""두부는 찌개용이 아닌 단단한 부침용을 사용하세요"", """", ""약불"", """", """", ""이때 매콤한 것 좋아하심 청양고추를넣어 주셔요!"", """", """"]"
6918383,달콤한 양파속에 꼭꼭 숨은 닭가슴살,닭가슴살,4.0,메인반찬,20.0,초급,"{'닭가슴살': '50g', '달걀': '3개', '양파': '2개', '각종자투리': '야채 100g', '소금': '약간'}","[""1. 양파는 껍질을 벗겨 손질해 링 모양을 살려 썰어줍니다. 남은 양파도 다져서 넣을꺼예요. 양파 손질법 레시피"", ""2. 각종 자투리 채소들을 잘게 다져주세요. 편식하는 재료들을 꼭꼭 숨기기 좋아요."", ""3. 단백질도 중요하니까 닭가슴살도 다져서 넣어주시구요~"", ""4. 달걀 3개를 넣고, 소금으로 약간 간을 해줍니다. 잘 섞어 주세요~"", ""5. 기름 두른 팬에 링으로 썰어둔 양파를 올리고 숟가락으로 달걀물을 한수저씩 떠 넣어줍니다."", ""6. 뒤집을때는 뒤집개 두개를 이용해 살살 뒤집어 주세요."", ""7. 속까지 골고루 익혀주세요.""]","[""남은 양파도 다져서 넣을꺼예요."", ""편식하는 재료들을 꼭꼭 숨기기 좋아요."", """", """", """", """", """"]"
6881099,완전맛있는 차돌박이찜! 미소된장마요소스도 함께~,차돌박이찜,2.0,메인반찬,15.0,아무나,"{'차돌박이': '10장', '깻잎': '5장', '팽이버섯': '1묶음', '숙주나물': '1주먹', '미소된장': '1큰술', '마요네즈': '1숟갈', '올리고당': '1숟갈', '다진마늘': '0.5숟갈', '고춧가루': '0.3숟갈', '청양고추': '다진것 1개', '물': '2숟갈'}","[""1. 팽이버섯은 밑둥을 잘라내고 씻어주시고 깻잎도 흐르는물에 씻어주세요 저는 깻잎이 커서 반으로 잘라서 사용! 작으면 1장을 통채로 쓰시면됩니다"", ""2. 차돌박이 위에깻잎을 올리고"", ""3. 그위에 팽이버섯을 올려준뒤"", ""4. 돌돌 말아주기만하면 완성이에요"", ""5. 만드는 방법 완전 간단하죠?"", ""6. 냄비에 숙주나물을 한주먹 깔고"", ""7. 차돌박이를 올려 10분간 쪄주면 끝 차돌박이 말린이음새 부분이 아래로 가게 두고 찌면 풀어지지않아요"", ""8. 차돌박이찜이 완성되는 사이 소스를 만들어볼게요! 처음엔 된장이랑 마요네즈? 하실텐데 드셔보시면 고기랑 정말 잘어울리는 소스!"", ""9. 분량의 재료들을 잘섞어주시면되구요 미소된장이 없으시다면 집된장 말고 시판된장 싱거운걸 사용하셔도 됩니다"", ""10. 차돌박이 찜기에 넣고 소스만들면 그사이 차돌박이찜 완성입니다 금새 익기때문에 정말 초스피드로 완성할수있는 요리에요"", ""11. 예쁘게 그릇에 담아주면 끝!"", ""12. 된장마요소스에 콕 찍어먹으면 정말 맛있답니다 강력추천!""]","[""저는 깻잎이 커서 반으로 잘라서 사용!작으면 1장을 통채로 쓰시면됩니다"", """", """", """", """", """", ""차돌박이 말린이음새 부분이 아래로 가게 두고 찌면 풀어지지않아요"", """", """", """", """", """"]"
6868389,치킨너겟으로 간편하게 간장치킨 만들기,간장치킨,2.0,메인반찬,15.0,아무나,"{'치킨너겟': '20개', '견과류': '아몬드or땅콩 / 생략 가능 1줌', '진간장': '3큰술', '설탕': '2큰술', '올리고당': '3큰술', '다진': '마늘 1큰술', '매실액': '1큰술', '맛술': '2큰술', '물': '3큰술'}","[""1. [치킨너겟 노릇하게 튀기기] 프라이팬에 치킨너겟이 절반 정도 잠길정도의 식용유를 두르고 로 한 면씩 뒤집어 가며 튀겨주세요. 제 기준으로 5분씩 총 10분 튀겨주었어요. 치킨너겟 20개, 식용유 약불 냉동상태의 너겟을 바로 튀기면 기름이 튀어요.미리 자연해동시켜주시거나 프라이팬 뚜껑을 살짝 닫아서 기름 튐을 방지해주세요!"", ""2. [기름기 제거] 튀겨진 너겟은 키친타월에 올려서 표면 기름을 제거해주세요. 키친타월 기름기를 제거해야 느끼함이 덜하겠지요."", ""3. [간장치킨 소스 만들기] 작은 볼에 진간장 3 스푼, 설탕 2스푼, 올리고당 3 스푼, 다진 마늘 1 스푼, 매실액 1 스푼, 맛술 2 스푼, 물 3스푼을 넣고 섞어주세요. 진간장 3 스푼, 설탕 2스푼, 올리고당 3 스푼, 다진 마늘 1 스푼, 매실액 1 스푼, 맛술 2 스푼, 물 3스푼 작은 볼 혹은 너겟 튀겼던 프라이팬 설거지 거리 줄이시려면 조금 전 너겟 튀겼던 프라이팬의 식용유를 버리고 소스 만들어주세요."", ""4. [간장소스에 버무리기] 움푹 팬 프라이팬에 소스를 넣고 로 가열해 주세요. 몇 초 후 끓기 시작하면 로 내린 후, 치킨너겟을 모두 넣고, 주걱으로 버무려 주세요. 강불로 시작해서 소스가 끓으면 중불 너겟은 소스를 순식간에 흡수시키니 빠르게 버무려 주세요."", ""5. [취향에 따라 견과류 추가] 소스가 거의 없어졌을 때 먹기 좋게 부셔놓은 견과류를 넣어주시고 에서 30초 정도만 버무려 주세요. 견과류 한 줌 중불 견과류를 넣으시면 고소하고 오독한 식감이 추가되니 추천 드려요.""]","["""", ""키친타월"", ""진간장 3 스푼, 설탕 2스푼, 올리고당 3 스푼, 다진 마늘 1 스푼, 매실액 1 스푼, 맛술 2 스푼, 물 3스푼"", ""강불로 시작해서 소스가 끓으면 중불"", ""견과류 한 줌""]"
6939980,쫄깃 매콤한 백종원 느타리 두루치기,느타리두루치기,3.0,메인반찬,15.0,아무나,"{'느타리버섯': '300g', '양파': '1/2개', '애호박': '1/4개', '고추': '1개', '대파': '1개', '고추장': '1T', '고춧가루': '1T', '간장': '3T', '설탕': '1.5T', '다진': '마늘 1스푼', '참기름': '1스푼'}","[""1. 느타리버섯은 손질 후 먹기 좋은 크기로 가닥을 떼어주세요. 양파는 채 썰고 애호박은 반달로 썰어주세요. 대파와 고추도 썰어 준비해 주었어요. 버섯 손질법 레시피"", ""2. 고추장 1T, 고춧가루 1T, 간장 3T, 설탕 1.5T, 다진 마늘 1스푼, 참기름 1스푼을 넣고 섞어주세요."", ""3. 느타리버섯과 채소들을 한곳에 넣고 양념장이 골고루 묻도록 조물조물 버무려주세요. 버무리다 보면 채소에서 물이 나와 잘 버무려진답니다."", ""4. 식용유를 살짝 두른 팬에 모든 재료를 넣어주세요."", ""5. 양념한 채소들이 잘 익을 때까지 볶아주시면 돼요. 여기에 불린 당면을 넣고 볶아주셔도 좋답니다."", ""6. 마지막으로 통깨를 뿌려주면 매콤한 느타리 두루치기가 최종 완성이 돼요.""]","["""", """", """", """", """", """"]"
6881815,칠리새우ㅣ쉬림프 박스 만들기,칠리새우,2.0,메인반찬,30.0,아무나,"{'칵테일': '새우 1종이컵', '다진마늘': '1스푼', '버터': '1조각', '식용유': '2스푼', '케찹': '2스푼', '고추가루': '1스푼', '설탕': '1스푼', '간장': '1스푼', '식초': '1스푼', '물': '약간', '유리볼': '', '믹싱볼': '', '프라이팬': '', '정사각도시락': ''}","[""1. 냉동새우는 물에 넣고 해동시켜주세요 새우꼬리부분은 취향에 따라 제거해주세요 !"", ""2. 칠리 소스 재료들을 모두 넣고 섞어주세요"", ""3. 팬에 식용유를 두르고 다진 마늘을 낮은 불에서 살짝 볶아주세요"", ""4. 마늘이 살짝 익을 때쯤 해동된 새우를 넣고 후추로 살짝 뿌려주세요"", ""5. 새우가 익어가면 소스를 넣고 소스와 새우가 함께 잘 버무려지게끔 물을 살짝 넣고 섞어주세요"", ""6. 마무리로 버터를 한조각 넣고 섞어주세요"", ""7. 밥을 준비해주세요"", ""8. 밥 위에 칠리새우를 올려주시면 완성입니다 !""]","[""새우꼬리부분은 취향에 따라 제거해주세요 !"", """", """", """", """", """", """", """"]"
6922700,새우 부추전ㅣ집들이용으로도 손색 없는!,새우부추전,2.0,메인반찬,30.0,중급,"{'칵테일': '새우 20마리', '부추': '1/5단', '부침가루': '5큰술', '청양고추': '2~3개', '물': '1/2종이컵', '소금': '1/2작은술'}","[""1. 재료를 준비 해주세요."", ""2. 부추를 송송 썰어주세요. 부추1/5단 칼 , 도마"", ""3. 청양고추도 다져주세요. 저는 4개를 사용했는데 매운 것을 안좋아하시는 분은 고추 개수를 조절하셔도 돼요.^^ 청양고추4개"", ""4. 새우 10마리를 다져주세요. 칵테일 새우 10마리"", ""5. 부추 + 고추 + 다진새우를 볼에 담고 소금 1/2작은술을 넣어주세요. 소금1/2 볼"", ""6. 부침가루 5큰술을 넣어주세요. 부침가루 5큰술"", ""7. 잘 섞어주세요."", ""8. 물 1/2 종이컵을 넣어주세요. 물 1/2 종이컵"", ""9. 잘 섞어주세요."", ""10. 남은 새우 10마리에 한 쪽면만 부침가루를 묻혀주세요. 새우 10마리, 부침가루"", ""11. 프라이팬에 기름을 둘러주세요. 오일 프라이팬"", ""12. 섞어놓은 반죽을 한 숟가락씩 떠서 동그랗게 펼쳐주세요. 그 위에 새우를 얹어주세요. 부침가루 묻은 면이 아래로 가게 놓아주세요. 중불"", ""13. 위 표면에 수분기가 없어지면 뒤집어 주세요. 반대쪽 면도 충분히 익혀주세요."", ""14. 새우 부추전 완성! 유튜브 구독은 정말 큰 응원이 됩니다! 부탁드려요! ♥ 집밥한그릇 구독링크♥ http://bit.ly/2QnUGbz"", ""15. 재료를 준비 해주세요.""]","["""", ""부추1/5단"", """", ""칵테일 새우 10마리"", ""소금1/2"", ""부침가루 5큰술"", """", ""물 1/2 종이컵"", """", ""새우 10마리, 부침가루"", ""오일"", ""중불"", """", """", """"]"
