RECIPE_ID,RECIPE_NM_KO,SUMRY,SERVINGS,TY_NM,COOKING_TIME,LEVEL_NM,INGREDIENT_FULL,STEP_TEXT,STEP_TIP
6877253,비엔나 만두 강정,만두강정,2.0,면/만두,15.0,아무나,"{'만두': '교자만두/물만두 10개', '비엔나소세지': '작은거 1봉', '물': '1T', '간장': '1T', '고추장': '2T', '케찹': '2T', '올리고당': '1.5T', '다진마늘': '1t', '참기름': '약간', '깨': '약간'}","[""1. 만두는 기름을 두룬 팬에 노릇하게 구워줍니다."", ""2. 비엔나 소세지에 원하는 모양대로 칼집을 내고 팬에 볶아줍니다. 양파가 있다면 같이 볶아줘도 좋아요:)"", ""3. 비엔나가 어느정도 구워지면 만두를 같이 넣어줍니다."", ""4. 양념장을 넣고 양념이 고루 베이도록 잘 섞어줍니다."", ""5. 양념이 어느정도 베이면 위에 통깨를 뿌려 마무리합니다."", ""6. 간식이나 술안주, 밑반찬으로 먹기 좋은 비엔나만두강정 완성!""]","["""", """", """", """", """", """"]"
6835071,깐풍만두 전분가루 없이도 맛있는 소스만들기,깐풍만두,2.0,면/만두,15.0,초급,"{'냉동만두': '500g', '냉장고속채소': '적당히', '간장': '2T', '식초': '2T', '미림(맛술)': '2T', '굴소스': '1T', '설탕': '1T', '물': '2T', '다진마늘': '0.5T'}","[""1. 제시 된 양념을 그릇에 모두 넣어 설탕이 녹을정도로 잘 섞어주세요"", ""2. 기름을 적당히 두른 팬에 냉동만두를 앞뒤로 노릇하게 구워줍니다"", ""3. 다른팬에 기름을 살짝 넣고 냉장고 속 자투리 채소를 다져 볶아주세요 (저는 양파, 당근, 송송 썰어놓은 대파를 넣었어요)"", ""4. 채소가 반정도 익었을 때 미리 만들어 놓은 양념을 모두 부어서 약불에서 살짝 졸여주시면 되요 (걸죽한 소스가 좋으신 분들은 전분가루를 이용해 전분물을 만들어 1T 넣어주시면 되요)"", ""5. 적당히 졸아든 깐풍소스를 맛있게 구워진 만두 위에 스~윽 뿌려주면 완성!""]","["""", """", """", """", """"]"
6739157,차돌박이 파스타,차돌박이파스타,1.0,면/만두,30.0,초급,"{'차돌박이': '15장', '양파': '1/2개', '청량고추': '2개', '홍고추': '1개', '통마늘': '5톨', '간장': '2숟갈', '굴소스': '1숟갈', '맛술': '1숟갈', '다진마늘': '1숟갈', '후추': '약간'}","[""1. 파스타면을 제일 먼저 삶습니다. 물을 넉넉하게 담아 끓여주시고 파스타를 넣어주세요. 7분 : 단단한 식감을 원할때 8분 : 쫄깃하고 탄력있는 식감 9분 : 부드럽고 통통한 면을 원할때"", ""2. 마늘은 편으로 썰고 양파도 적당히, 고추도 얇게 썰어주세요. 특히 고추는 얇게 썰어주셔야 입에서 겉돌지 않고 면에 착착 감깁니다."", ""3. 간장 2숟갈, 굴소스 1숟갈, 맛술 1숟갈, 다진마늘 1숟갈, 후추약간을 넣어 소스를 만들어주세요. 다 삶아진 면은 건져서 올리브유를 살짝 넣어 비벼놓으시면 됩니다."", ""4. 재료 준비가 끝났다면 기름을 두른팬에 마늘과 고추를 먼저 넣어 볶아 향을 내주세요. 그다음 양파도 넣어주세요."", ""5. 차돌박이까지 넣어 반 정도 볶은뒤, 면을 넣고 미리 만들어둔 소스를 넣고 함께 볶아주시 면됩니다. 소스는 입맛에 따라 약간씩 넣으며 가감하세요.""]","["""", """", """", """", """"]"
6890570,새우굴소스파스타,새우굴소스파스타,1.0,면/만두,15.0,초급,"{'파스타면': '100g', '청양고추': '2개', '마늘': '30g', '버터': '30g', '새우': '6마리', '파마산치즈가루': '약간', '오일': '3T', '소금': '약간', '굴소스': '1.5T'}","[""1. 냄비에 물을 2/3정도 채우고 소금을 약간 넣고 끓여준다 물이 끓으면 파스타면을 넣고8~10분간 익혀준다"", ""2. 면이 다 익으면 면을 채반에 받친뒤 면수는 버리지말고 따로 받아둔다"", ""3. 마늘과 고추는 작게 편썰어서 준비해둔다"", ""4. 새우는 날카로운 머리부분을 반 잘라 손질해놓는다 새우 손질법 레시피"", ""5. 썰어둔 마늘과 고추를 기름두른팬에 볶아준다"", ""6. 마늘이 어느정도 익으면 손질해놓은 새우와 버터를넣고 약한불에서 타지않게 볶아준다"", ""7. 새우가 익어갈쯤 삶은파스타면을넣고 면수 한국자와 굴소스를넣고 섞어준다"", ""8. 그릇에 예쁘게담아준다"", ""9. 완성된파스타에 파마산치즈가루를 솔솔뿌려 마무리해준다""]","["""", """", """", ""새우 손질법 레시피"", """", """", """", """", """"]"
6902300,중식의 대가 이연복 쉐프 깐풍만두 초간단 레시피,깐풍만두,1.0,면/만두,15.0,아무나,"{'만두': '10개', '대파': '1대', '쥐똥고추': 'or청양고추 기호에맞게', '다진마늘': '1T', '간장': '1T', '설탕': '1T', '식초': '2T', '물엿': '1/2T', '후추': '톡톡'}","[""1. 먼저 야채를 잘게 썰어 주시는데요. 이연복 쉐프님은 쥐똥고추를 말씀하셨는데 저는 없어서 매운 청양홍고추를 사용했습니다"", ""2. 후추를 제외한 양념은 미리 한곳에 섞어 줍니다"", ""3. 달궈진 팬에 기름 약간 두르고 만두를 약불에서 노릇하게 구워 주세요"", ""4. 만두가 다 구워지면 한쪽에 밀어두고 다른 한켠에서 대파,다진마늘,매운홍고추를 넣고 볶다가 만두와 섞어 줍니다"", ""5. 준비해둔 양념에 후추약간과 물 3-4스푼을 넣어주고 재빨리 저어 살짝 졸여주면 끝!"", ""6. 야식으로 추천드리고 싶은 이연복쉐프님 깐풍만두 완성입니다"", ""7. 한입 먹어보니 고추의 매콤한 맛, 식초의 새콤한 맛, 설탕의 달달한 맛이 한데 어우려져 정말 맛있어요.맥주드시는 분들께는 간단한 술안주로도 좋을듯 합니다""]","["""", """", """", """", """", """", """"]"
6853260,부산에서 먹던 탱글탱글 비빔당면,비빔당면,1.0,면/만두,15.0,아무나,"{'당면': '80g', '계란': '1개', '당근': '1/2개', '깻잎': '5장', '고춧가루': '2T', '설탕': '1T', '깨': '1T', '간장': '4T', '식초': '1.5T', '올리고당': '2T', '다진마늘': '0.5T', '참기름': '2T', '다진파': '2T'}","[""1. 고춧가루2T, 설탕1T, 깨1T, 간장4T, 식초1.5T, 올리고당2T, 다진마늘 0.5T, 참기름2T, 다진파2T 를 넣고 양념장부터 만들거예요 ▶양념장을 먼저 만들어 놓고 시작하셔야 요리가 쉽습니다. 당면부터 삶고 양념장을 만들게 되면 당면이 불어버리는 사태가 벌어지기 때문이죠"", ""2. 깻잎과 당근은 깨끗이 씻어서 깻잎은 반으로 접어서 길고 얇게 채썰고, 당근도 얇게 채썰어주세요"", ""3. 계란1개는 잘 풀어주세요"", ""4. 후라이팬에 기름을 두르고 계란물을 부어서 계란지단을 만들어줍니다 ▶ 어차피 길게 채썰꺼라서 모양은 이쁘게 안하셔도 됩니다"", ""5. 다 익은 계란지단은 길게 채썰어주세요"", ""6. 당면을 삶아줍니다 ▶ 보통 7~8분정도 삶아주시는게 제일 적당해요"", ""7. 다 삶아진 당면은 찬물로 헹궈주세요"", ""8. 그릇에 당면을 담고, 당근,계란,깻잎 고명을 얹어줍니다. 그리고 취향에 맞고 소스를 얹어줍니다 ▶당면은 미리 가위로 조금 잘라주세요""]","["""", """", """", """", """", """", """", """"]"
6880201,만두강정 소스까지 다 만들기 간단간식 맥주안주로 굿굿!,만두강정,2.0,면/만두,15.0,아무나,"{'만두': '6-10개', '옥수수': '약간', '땅콩가루': '약간', '고추장': '1숟갈', '케찹': '3숟갈', '올리고당': '1숟갈', '설탕': '0.5숟갈', '맛술': '1숟갈', '다진마늘': '1숟갈'}","[""1. 만두를 구워주세요 저는 에어프라이어에다가~ 에어프라이에어 돌리실분들은 180도에서 12분정도면 다익어요 에어프라이어"", ""2. 위의 분량대로 양념을 섞어 만들어줍니다 이 양념은 두부강정이나 양념치킨 전부다 사용가능해요"", ""3. 톡톡터지는 식감을 주기위해 저는 냉동실에 얼려뒀던 옥수수를 조금 넣어줬습니다 콘옥수수캔을 물빼고 넣어주셔도되요"", ""4. 소스는 한번 파르르 끓여주세요 제 분량대로 만드시면 만두 왕교자사이즈로 10개정도 버무릴수있는 양입니다"", ""5. 다익은 만두를 끓여둔 소스에 투하!"", ""6. 뒤적뒤적 잘섞어주기만하면 끝이에요 고추장때문에 매운맛이 있으니 아이들을 위해 만드실경우 고추장양을 살짝 줄이셔도 됩니다"", ""7. 그릇에 쪼로리 담고 위에 땅콩가루 뿌리고 파슬리가루 살짝 뿌려주면 비쥬얼 업업!""]","["""", """", """", ""제 분량대로 만드시면 만두 왕교자사이즈로 10개정도 버무릴수있는 양입니다"", """", ""고추장때문에 매운맛이 있으니 아이들을 위해 만드실경우 고추장양을 살짝 줄이셔도 됩니다"", """"]"
6862948,"[간단 자취요리] 정말 쉬운 비빔만두 만들기! 간식, 술안주로도 굿!",비빔만두,2.0,면/만두,15.0,아무나,"{'냉동만두': '적당량', '깻잎': '', '상추': '', '양배추': '', '고추장': '3T', '식초': '2T', '설탕': '2T', '다진마늘': '1/2T', '참기름': '1/2T'}","[""1. 재료를 준비합니다. 각종야채, 냉동만두, 고추장, 식초, 설탕, 다진마늘, 참기름"", ""2. 우선 양념장을 만들어 줍니다. 양념장 재료 : 고추장 3T, 식초 2T, 설탕 2T, 다진마늘 1/2T, 참기름 1/2T"", ""3. 깻잎은 먹기 좋게 채썰어 주세요. 찢어도 무관해요."", ""4. 상추도 먹기 좋게 찢어줍니다."", ""5. 양배추는 최대한 얇게 썰어주시는 게 좋아요."", ""6. 모든 야채를 넣고 양념장에 버무려 줍시다. 버무리면 숨이 죽으니 생각했던 것보다 많이 준비하세요!"", ""7. 이제 만두를 노릇노릇 구워줍시다. 중불 노릇노릇 바삭바삭하게 구워주시면 좋아요."", ""8. 멋지게 셋팅을 해주세요.""]","[""각종야채, 냉동만두, 고추장, 식초, 설탕, 다진마늘, 참기름"", ""양념장 재료 : 고추장 3T, 식초 2T, 설탕 2T, 다진마늘 1/2T, 참기름 1/2T"", """", """", """", ""버무리면 숨이 죽으니 생각했던 것보다 많이 준비하세요!"", ""중불"", """"]"
6834113,간단하지만 중독성있게맛있는 간장파스타,간장파스타,1.0,면/만두,30.0,아무나,"{'파스타면': '500원동전만큼 1인분', '양파': '1/2개', '베이컨': '70g', '마늘': '2쪽', '청양고추': '3개', '올리브유': '또는식용유 조금', '간장': '2T', '참기름': '1T', '설탕': '1T'}","[""1. 재료:파스타면500원짜리동전만큼,양파1/2개,마늘2쪽(큰거기준_마늘이 작다면 3-4개정도준비해주세요)청양고추3개,베이컨70g,올리브유또는식용유 양념재료:간장2스푼,참기름1스푼,설탕1스푼 (1인분기준/밥숟가락기준)"", ""2. 파스타면을 500원짜리 동전만큼 준비해주세요 저정도 양이 1인분의 양이랍니다."", ""3. 냄비에 물을넣고 물이 끓기시작하면 파스타면을 넣어주세요 그리고 올리브유를 1스푼넣어주세요 올리브유 없으시면 식용유로 하셔도 된답니다. 이렇게해서 8분정도 삶아주세요 전 꼬들꼬들한 식감을 좋아해서 8분정도 삶아주었는데 좀더 말캉한(?) 식감을 원하시면 10분정도 삶아주시면 됩니다."", ""4. 파스타면이 삶아지는동안 야채를 준비할께요! 양파1/2개와 청양고추3개,마늘2쪽을 준비해서 썰어주시고 사진에는 없지만 베이컨도 먹기좋게 잘라주세요 여기서 새우살이 있으면 새우를 넣으시면 좀더 맛있는데 전 패스했습니다. 매운거 못드시는분들은 청양고추를 2개만 넣으시구요~ 매콤한걸 좋아하시면 4개정도 넣으시면 충분히 칼칼하게 드실수 있어요!"", ""5. 양념장은 간장2스푼,참기름1스푼,설탕1스푼을 넣어서 잘섞어주시면 간장파스타의 양념장이 완성됩니다."", ""6. 야채를 준비하는동안 파스타면이 삶아졌을거예요~ 찬물에 헹구지 마시고~ 그냥 체이 받쳐서 물기만 제거해주세요"", ""7. 후라이팬을 준비해서 식용유나 올리브유를 넣고 마늘 썰어두었던걸 넣고 살살 볶아줍니다."", ""8. 마늘이 노릇해지기 시작하면 베이컨을 넣어줍니다. 베이컨은 자체에서 기름이 나오기 때문에 베이컨을 넣자마자 양파를 넣어서 같이 볶아주세요"", ""9. 양파가 분리가 되기 시작하면 청양고추를 썰어두었던것을 넣어주세요."", ""10. 물기를 제거해서 놔두었던 파스타면을 넣어줍니다. 그리고 만들어 두었던 간장파스타의 양념을 넣어줍니다."", ""11. 2분에서3분넣도 더 볶아내면 간장파스타 완성입니다!!""]","["""", """", """", """", """", """", """", """", """", """", """"]"
6865518,시금치(포항초)알리오올리오:시금치를 좋아하게 만드는 파스타,시금치알리오올리오,1.0,면/만두,15.0,아무나,"{'스파게티면': '100~150g', '마늘': '6~7톨', '다진마늘': '1/2큰술', '시금치(포항초)': '4~5뿌리', '굴소스': '1작은술', '올리브오일': '2큰술', '소금': '', '후추': '', '굵은소금': ''}","[""1. 끓는물에 스파게티면과 굵은소금을 넣고 7분정도 삶는다 (패키지에 쓰인 삶는 시간에서 1~2분 덜 삶기)"", ""2. 스파게티가 거의 삶아질 무렵 팬에 올리브오일을 두르고 편마늘과 다진마늘을 넣어 볶는다: 비주얼상으로는 편마늘이 더 좋으나 마늘맛을 진하게 내는데는 다진마늘이 좋으므로 둘을 같이 넣어주면 좋아요"", ""3. 마늘이 노릇노릇 익으면 시금치와 굴소스를 넣고 볶는다 굴소스 대신 맛간장을 넣어주어도 좋고 그냥 소금으로 간을 맞춰도 깔끔하고 맛있어요"", ""4. 스파게티면을 넣어 함께 볶아준다"", ""5. 필요하면 면수 좀 추가하고 소금+후추 넣어 마무리한다:"", ""6. 접시에 파스타를 담고 올리브오일을 휘리릭 두르고 파슬리가루를 뿌려낸다""]","["""", ""비주얼상으로는 편마늘이 더 좋으나 마늘맛을 진하게 내는데는 다진마늘이 좋으므로 둘을 같이 넣어주면 좋아요"", ""굴소스 대신 맛간장을 넣어주어도 좋고그냥 소금으로 간을 맞춰도 깔끔하고 맛있어요"", """", """", """"]"
