RECIPE_ID,RECIPE_NM_KO,SUMRY,SERVINGS,TY_NM,COOKING_TIME,LEVEL_NM,INGREDIENT_FULL,STEP_TEXT,STEP_TIP
6933760,♥[신혼밥상] 팽이버섯 덮밥,팽이버섯덮밥,1.0,밥/죽/떡,10.0,아무나,"{'팽이버섯': '1봉', '대파': '1줌', '양파': '1/2개', '달걀': '1개', '참기름': '약간', '통깨': '적당히', '간장': '2숟가락', '굴소스': '0.5숟가락', '설탕': '0.5숟가락', '맛술': '2숟가락', '물': '3큰술'}","[""1. 팽이버섯은 3등분으로 자르고 양파와 대파는 채썰어주세요."", ""2. 간장 2, 맛술 2, 물 3, 굴소스 0.5, 설탕 0.5숟가락을 넣고 소스를 만들어주세요. 다진마늘 약간(커피스푼1) 넣어주면 더 맛있어요. 물론 생략가능!"", ""3. 달군팬에 기름을 두르고 대파, 양파, 팽이버섯을 넣고 숨이 죽을 만큼 살짝 볶아주세요."", ""4. 소스를 부어주세요."", ""5. 국물이 자작자작해질때까지 조려주면 완성!"", ""6. 국물이 자작해질 동안 달걀프라이 하나 ^^ 노른자 터트려 함께 비벼드시면 꿀맛!"", ""7. 밥을 담고 달걀프라이를 올린 다음 흰자 위로 팽이버섯 비~잉 참기름 톡~통깨 뿌려주면 초간단 초저렴 든든한끼 완성!""]","["""", ""다진마늘 약간(커피스푼1) 넣어주면 더 맛있어요.물론 생략가능!"", """", """", """", ""노른자 터트려 함께 비벼드시면 꿀맛!"", """"]"
6897383,스팸 돈부리덮밥!반찬이 필요없는 초간단 한그릇 요리,스팸돈부리,2.0,밥/죽/떡,2.0,아무나,"{'스팸(小)': '1캔', '양파': '1개', '계란': '2개', '대파': '약간', '간장': '4T', '설탕': '2T', '물': '2/3종이컵'}","[""1. 먼저 스팸은 스틱모양으로 썰어 뜨거운 물에 살짝 데쳐 줍니다"", ""2. 데친 스팸은 아무것도 두르지 않은채 달궈진 팬에 구워 줍니다."", ""3. 대파는 쫑쫑 썰어주시고 양파는 얇게 채 썰어 주세요 양파가 너무 크면 1/2개만 사용하세요"", ""4. 간장4스푼,설탕2스푼,물 2/3컵(종이컵)을 잘 섞어주세요. 설탕이 충분히 녹게 잘 섞어주셔요 혹시 평소 달달한것 싫어하심 설탕양은 줄여 주세요"", ""5. 계란2개를 깨서 계란물을 만들어 줍니다."", ""6. 냄비에 양파와 간장소스를 넣고 끓여 주다가 양파가 투명해지면 스팸을 위에 올려 줍니다."", ""7. 국물이 조금 자작해졌다 싶을때 계란물을 빙 둘러 주세요. 이때 마구 젓지 마시고 자연스럽게 두시면 되요. 마지막으로 대파를 솔솔 뿌려주신 뒤 완성되면 밥위에 올려주시면 끝!"", ""8. 반찬 필요없는 초간단 한그릇 요리 스팸돈부리덮밥 완성입니다.슥슥 비벼 한숟가락 먹어보니 부드러운 계란과 양파에 짭쪼름한 스팸이 만나 참 맛있네요""]","["""", """", ""양파가 너무 크면 1/2개만 사용하세요"", ""혹시 평소 달달한것 싫어하심 설탕양은 줄여 주세요"", """", """", """", """"]"
6869017,【반전의맛】스팸 양배추 덮밥 만들기~,스팸양배추덮밥,1.0,밥/죽/떡,10.0,아무나,"{'양배추': '2주먹', '양파': '1/2개', '대파': '10cm', '스팸': '100g', '땡초': '2개', '다진마늘': '1/2T', '간장': '2T', '굴소스': '1T', '참기름': '1T', '설탕': '1/2T', '후추': '2번', '물': '5T'}","[""1. 스팸200g짜리 반만 사용했어요^~^ 땡초두개,채썬양배추 두주먹,대파 10센티,양파 반개를 먹기좋게 썰어 주시구요~(애들은 땡초대신 파프리카 넣어도 맛있어요)"", ""2. 후라이팬에 기름을 두르고 대파랑 마늘 반스푼 넣어서 볶아주세요~"", ""3. 그다음 스팸을 (100g)넣고 볶다가 양파반개,땡초두개넣어서 볶아 주시구요~"", ""4. 양배추 넣어서 볶아주세요^~^이때 굴소스한스푼,간장두스푼,설탕반스푼,참기름한스푼,후추2번톡톡해서 볶아주시다가"", ""5. 물을 다섯스푼정도 넣고 볶아 주시면 완성입니다^~^"", ""6. 제가 아침겸점심겸저녁으로 먼저 먹어봤는데 너무 맛있어서 우리가족님 저녁으로 해줬더니 잡채맛이 난다고 너무 맛있다고 한그릇 뚝딱 해주시네요ㅎㅎ 정말 강력추천합니다 김치하나랑 먹어도 엄지척이에요^~^♥""]","["""", """", """", """", """", """"]"
1802633,베이컨떡꼬치,베이컨떡꼬치,2.0,밥/죽/떡,15.0,초급,"{'떡볶이떡': '', '베이컨': '', '소금': '', '블랙페이퍼(흑후추)': ''}","[""1. 떡뽁이떡, 베이컨을 준비합니다."", ""2. 떡볶이떡에 베이컨을 말아서 꼬치에 꽂아주세요."", ""3. 후라이팬에 올리브유를 두르고 소금, 후추를 가볍게 뿌린 후 약불에 천천히 노릇노릇 구워주세요."", ""4. 완성입니다.""]","["""", """", """", """"]"
6869489,매콤버섯덮밥~한그릇,버섯덮밥,1.0,밥/죽/떡,30.0,아무나,"{'느타리버섯': '80g', '양파': '60g', '대파': '1대', '밥': '1공기', '참깨': '약간', '간장': '1.5숟가락', '물': '3숟가락', '고추가루': '2숟가락', '참기름': '1/2숟가락', '설탕': '2/3숟가락'}","[""1. 느타리버섯은 길게 찢어주시고 양파는 채썰어주세요 느타리버섯대신 새송이버섯이나 다른버섯을 사용하셔도 좋아요"", ""2. 양념장재료를 섞어 양념장을 만들어주세요"", ""3. 달군팬에 대파를 넣어주세요"", ""4. 양파를 넣고 센불로 20초정도 볶아주세요"", ""5. 버섯을 넣어 1분간 더 볶아주시다가 중간불로 줄여 양념장을 넣어 볶아주세요 더 맵게 드시고 싶은 분들은 여기에 청양고추를 더 넣어주시며 되세요"", ""6. 양념장재료가 스며들도록 30초정도 볶아주신후에 그릇에 밥을 담고 밥위에 올려주신후에 참깨를 솔솔 뿌려 주세요""]","["""", """", """", """", """", """"]"
6952286,손님 초대용으로도 좋은 유산슬느낌 청경채부추새우덮밥,청경채부추새우덮밥,2.0,밥/죽/떡,15.0,초급,"{'청경채': '4뿌리', '부추': '1줌', '새우': '12마리', '버섯': '1~2줌', '양파': '1/2개', '다진마늘': '1T', '청양고추': '2개', '식용유': '3T', '굴소스': '1T', '간장': '1T', '참기름': '1T', '소금': '선택', '후추': '조금', '전분가루': '1T', '물': '250ml'}","[""1. 요리를 시작하기전에 먼저 냉동새우는 해동을 위해 한번씻어서 채에 받쳐두고 후추를 조금 뿌려줘요!"", ""2. 물 250ml(한컵)에 전분가루(전 감자전분썼어요!)녹말물도 먼저 만들어요!"", ""3. 팬에 식용유를 두르고 다진마늘 1큰술과 양파 1/2개를 볶아요!"", ""4. 양파가 조금 흐물해졌다 싶을때 해동시킨 새우를 넣어요!"", ""5. 새우가 맛있게 붉으스름해질때까지 볶아줘요"", ""6. 새우가 어느정도 익어갈때쯤 씻어놓은 청경채를 넣어줘요!"", ""7. 청경채에 숨이 죽을때까지 20초정도 볶아주다가"", ""8. 숨이 어느정도 죽으면 버섯과 굴소스 1T 간장1T를 넣고 휘리릭 볶아줍니다"", ""9. 준비했던 녹말물을 다시 잘 풀어주고 넣어주세요!"", ""10. 센불로 촤르르 볶은후 불을끄고 부추한줌과 참기름을 넣고 뒤적여주세요! 기호에따라 청양고추를 썰어주셔도 좋아요!"", ""11. 밥위에 부어주면 완성!""]","["""", """", """", """", """", """", """", """", """", """", """"]"
6886034,쫀득쫀득 일본식 감자떡 '이모모찌' 만들기,감자떡,1.0,밥/죽/떡,90.0,아무나,"{'감자': '전분 2스푼', '소금': '1꼬집', '간장': '1스푼', '올리고당': '1스푼', '맛술': '1스푼', '물': '1스푼', '버터': '1조각', '치즈': '약간'}","[""1. 감자 3개를 깍둑썰기 해주세요. 감자 3개 물에 삶아주기 이전에 익히는 시간을 단축하기 위해서 잘라주세요."", ""2. 냄비에 물을 넣고 가스렌지에 올려주세요. 물 냄비 센불"", ""3. 물이 팔팔 끓으면"", ""4. 감자를 넣어주세요."", ""5. 그 사이 소스를 만들어 줄게요. 간장 1스푼,"", ""6. 올리고당 1스푼,"", ""7. 맛술 1스푼,"", ""8. 물 1스푼을 넣고"", ""9. 잘 섞어주세요."", ""10. 감자를 젓가락으로 찔렀을 때 푹 들어가면 다 익은거랍니다."", ""11. 다 익은 감자는 체에 받쳐 물기를 빼주시고"", ""12. 보울에 넣어 매셔로 으깨주세요. 매셔 매셔가 없으시면 그냥 포크로 으깨주셔도 돼요."", ""13. 알갱이 없이 충분히 으깨주셨으면 감자전분 2스푼을 넣고"", ""14. 손으로 잘 뭉쳐주세요."", ""15. 중간에 소금 1꼬집을 넣어주세요."", ""16. 다시 잘 뭉쳐주세요. 감자전과 감자떡의 중간 질감이면 반죽 완성입니다."", ""17. 적당량을 똑 떼서 동글동글 모양을 잡아주시고 납작하게 눌러주세요. 저는 그냥 이모모찌랑 치즈 이모모찌 두 종류로 만들어 봤는데요,"", ""18. 치즈 이모모찌는 송편 만들때처럼 가운데 홈을 만들어서 그 안에 치즈를 넣어주세요. 치즈가 밖으로 나오지 않게 잘 뭉쳐서 눌러주세요."", ""19. 이렇게 저는 총 9개가 나왔어요."", ""20. 후라이팬에 버터 1스푼을 넣고 녹여주세요. 버터 후라이팬 약불"", ""21. 버터가 어느 정도 녹았으면 반죽을 올려주세요."", ""22. 양면을 노릇하게 구워주시고"", ""23. 미리 만들어둔 소스를 후라이팬에 부어주세요."", ""24. 소스가 적당히 졸어들면 완성입니당""]","[""감자 3개"", ""물"", """", """", """", """", """", """", """", """", """", ""매셔"", """", """", """", """", """", """", """", ""버터"", """", """", """", """"]"
6919305,든든한 혼밥 돈까스김치나베,돈까스김치나베,1.0,밥/죽/떡,20.0,초급,"{'돈까스': '1장', '김치': '1컵', '김치국물': '1/2컵', '고춧가루': '1스푼', '다진마늘': '1/2스푼', '국간장': '1.5~2스푼', '설탕': '1~1.5스푼', '맛술': '1스푼', '달걀': '1~2개', '물': '1/2컵'}","[""1. 돈까스 한장을 튀겨서 먹기 좋은 크기로 잘라주세요."", ""2. 뚝배기에 기름을 두르고 대파, 양파를 볶아주세요."", ""3. 김치를 넣고 볶다가 김치국물 종이컵으로 반컵정도 부어주세요."", ""4. 어느정도 볶아졌으면 고춧가루 1스푼, 다진마늘 반스푼, 국간장 2스푼, 설탕 한스푼 반, 종이컵으로 물 반컵을 넣고 끓여주세요. 평소에 싱겁게 드시거나 덜 달게 드신다면 국간장은 1.5스푼, 설탕은 1스푼 추천드려요."", ""5. 국물이 자작자작해지면 돈까스를 올려주세요."", ""6. 달걀 1~2개를 풀어 가장자리에 빙빙 둘러주세요. 데코로 대파 올리면 든든한 한끼식사 완성! 팽이버섯을 추가해 주면 좋을 것 같습니다.""]","["""", """", """", ""평소에 싱겁게 드시거나 덜 달게 드신다면 국간장은 1.5스푼, 설탕은 1스푼 추천드려요."", """", ""팽이버섯을 추가해 주면 좋을 것 같습니다.""]"
6892728,간단한 한끼식사ㅡ 삼색소보로덮밥,삼색소보로덮밥,2.0,밥/죽/떡,15.0,초급,"{'신김치': '1밥그릇', '계란': '2개', '통조림햄': '200g', '양파': '1/2개', '식용유': '1T', '올리고당': '2T', '참기름': '1T', '소금': '1꼬집', '깨소금': '적당량'}","[""1. 신김치 밥그릇1을 준비합니다 가위로 먹기좋게 잘라주세요"", ""2. 양파 반개를 잘게 썰어서 준비합니다"", ""3. 계란2개를 미리 풀어놓아요 소금 한꼬집만 넣어어요"", ""4. 햄200g도 먹기좋은 크기로 썰어주세요"", ""5. 햄은 아무것도 넣지않고 살짝 구워주세요"", ""6. 계란은 스크램블을 합니다"", ""7. 팬에 기름1을 두르고 김치와 양파를 볶아주세요"", ""8. 올리고당 2T를 넣고 살짝 볶아주세요"", ""9. 불을 끄고 참기름1을 넣어 섞어주세요"", ""10. 밥1공기를 그릇에 담아줍니다"", ""11. 세가지 토핑을 차례로 올려주면 완성""]","["""", """", """", """", """", """", """", """", """", """", """"]"
6878340,단짠단짠의 대패덮밥,대패덮밥,2.0,밥/죽/떡,30.0,초급,"{'대패': '삼겹살 400g', '대파': '2뿌리', '설탕': '2스푼', '맛간장': 'OR진간장 4스푼'}","[""1. 궁중팬에 대패삼겹살을 넣어줍니다. 대패삼겹살 400g"", ""2. 대파는 큼직하게 썰어서 준비합니다. 대파 2뿌리"", ""3. 대패삼겹살이 골고루 익도록 볶아줍니다. 강불"", ""4. 고기가 적당히 익으면 준비한 대파를 넣고 좀더 볶아줍니다. 강불"", ""5. 대패삼겹살이 노릇해질 정도로 충분히 익혀준 뒤 중불"", ""6. 설탕 2스푼을 넣고 한번 더 볶아줍니다. 설탕 2스푼 중불"", ""7. 설탕을 넣고 볶아주면 고기에 윤기가 돌아요. 중불 설탕을 넣을 때는 불을 중불로 줄여야 타지않게 볶을 수 있어요."", ""8. 맛간장 또는 진간장을 4큰술 넣고 한번 더 볶아줍니다. 중불 입맛에 따라 간장의 양은 조절해야 해요!"", ""9. 삼겹살에 간장 양념이 골고루 베이도록 볶아주면 완성이에요^^"", ""10. 오목한 그릇에 따뜻한밥을 담고, 그 위에 볶은 고기를 올려주면 대패덥밥 완성!""]","[""대패삼겹살 400g"", ""대파 2뿌리"", ""강불"", ""강불"", ""중불"", ""설탕 2스푼"", ""중불"", ""중불"", """", """"]"
