RECIPE_ID,RECIPE_NM_KO,SUMRY,SERVINGS,TY_NM,COOKING_TIME,LEVEL_NM,INGREDIENT_FULL,STEP_TEXT,STEP_TIP
6828951,대패삼겹살 영양부추 샐러드,대패삼겹살부추샐러드,2.0,샐러드,30.0,초급,"{'대패삼겹살': '', '양파': '', '영양부추': '', '간장': '3큰술', '식초': '2큰술', '참기름': '1큰술', '다진': '마늘 1큰술', '설탕': '1큰술', '고춧가루': '1작은술', '소금': '', '후추': ''}","[""1. 대패삼겹살에 소금, 후추로 간해주세요."", ""2. 영양부추는 3~4cm 정도의 길이로 잘라줍니다."", ""3. 양파 반개는 채썰어주고, 매운맛이 강하다면 찬물에 담궈 매운맛을 제거해주세요"", ""4. 간장 3큰술, 식조 2큰술, 참기름 1큰술, 다진마늘 1큰술, 설탕 1큰술, 고춧가루 1작은술 넣고 잘 섞어줍니다."", ""5. 소금, 후추 간을 한 고기는 노릇노릇하게 구워줍니다."", ""6. 대패삼겹살에서 나오는 기름은 키친타올로 제거해주면서 구워주세요."", ""7. 썰어놓은 영양부추와 양파 그리고 드레싱을 뿌려 야채 먼저 버무려줍니다."", ""8. 다 버무려진 야채위에 잘 구워진 대패삼겹살 넣고"", ""9. 남은 소스 한큰술정도 넣고"", ""10. 다시한번 살짝 버무려 주면 완성입니다.""]","["""", """", """", """", """", """", """", """", """", """"]"
6842280,연두부 샐러드,연두부샐러드,4.0,샐러드,5.0,아무나,"{'연두부': '1팩', '어린잎채소': '1/2줌', '파프리카': '약간', '양파': '약간', '간장': '2.5T', '식초': '1.5T', '설탕': '1T', '다진마늘': '1T', '참기름': '1t', '통깨': '약간'}","[""1. 연두부를 접시에 뒤집어 올려줍니다."", ""2. 어린잎채소나 새싹채소를 연두부위에 올려줍니다."", ""3. 분량의 양념장에 양파,파프리카를 다져넣고 연두부위에 뿌려주면 완성.""]","["""", """", """"]"
6882634,【맛있는 다이어트】초간단으로 닭가슴살 냉채 만들기~♥,닭가슴살냉채,3.0,샐러드,15.0,아무나,"{'닭가슴살': '200g', '양파': '1/2개', '오이': '1개', '당근': '2cm', '빨간': '파프리카 1/2쪽', '노란': '파프리카 1/2쪽', '초록': '파프리카 1/2쪽', '겨자': '1.5T', '양조간장': '4T', '식초': '4T', '설탕': '1.5T', '매실액': '1.5T', '다진마늘': '1.5T'}","[""1. 닭가슴살은 집에 있는 향신료 넣고 속까지 익겠금 잘 삶아 주셔요~ 비린내가 나지않게 통후추,월계수잎,파뿌리,양파껍질,대파,마늘,생강 등등 아무거나 넣으시면 되셔요^^ (익혀진 닭가슴살캔 같은거는 이과정도 필요 없으니 더초간단~!)"", ""2. 야채는 냉장고 사정에 맞게 채썰어 주세요~ 오이하나,파프리카3개를(색깔별로)반개씩,양파반개,당근 2센티정도 준비했어요^^ 맛살,깻잎,부추등등 있으신거 채썰어서 쪼름히 색깔별로 놓으심 되셔요^^"", ""3. 소스는 겨자(취향껏)1.5T,양조간장4T,식초4T,설탕1.5T,매실액1.5T,다진마늘1.5T넣었어요^^ (매실액기스는 설탕보다 왠지 살이 덜찔꺼 같아 넣었지만(ㅋㅋ) 생략가능 하구요~ 생략하실땐 설탕을 더넣어 주셔요~ 야채의 양이 틀리기 때문에 소스양은 맛을 보시면서 야채양에 따라 가감 해주세요~^^ 마늘은 다져진 마늘보다 통마늘을 바로 다져서 넣는게 더맛나용^^)"", ""4. 삶은 닭가슴살을 찢어서 올리고"", ""5. 소스 뿌리심 끝이에요^^ (배가 너무 고파서 사진 보시면 아시겠지만 정말 대충 채썰었거든요~ 오이도 씨부분 그대로~ 파프리카도 아래위 안자르고 그대로~ㅋㅋ 근데도 색감때문인지 보기엔 괜찮죠?!^^;;) 썰기만 하면 되는거니 완전 편하고 맛있어요^^"", ""6. 비닐장갑 끼고 조물조물 한다음 한입 먹음~! 겨자의 쏴~한맛에 새콤달콤 야채의 상큼한맛~! 엄지척~척~입니다ㅎㅎ""]","["""", """", """", """", """", """"]"
6912205,다이어트는 내일부터!!!! 내일 아침은 바로 이녀석 고구마에그슬럿 ★,고구마에그슬럿,2.0,샐러드,30.0,아무나,"{'고구마': '4개', '달걀': '2개', '견과류': '1/2줌', '저지방': '우유 1/2종이컵', '소금': '약간', '후추': '약간', '모짜렐라': '치즈 또는 저지방 체다치즈 약간'}","[""1. 고구마는 찌거나 삶고 껍질을 벗겨 준비한다. 군고구마는 칼로리가 더 높아요!"", ""2. 볼에 고구마와 저지방 우유, 견과류를 넣어 섞는다. 볼"", ""3. 전자레인지용 그릇에 고구마 퓨레를 넣는다. 전자레인지 , 그릇"", ""4. 고구마 퓨레 위에 달걀을 올리고 소금, 후추를 뿌린다."", ""5. 달걀 노른자에 이쑤시게나 포크로 구명을 낸 뒤 전자레인지에 넣어 약3분간 가열 하여 완성한다. 전자레인지 , 포크 모짜렐라 치즈나 저지방 체다치즈를 달걀 위에 올려 가열하면 더 맛이 좋아요.""]","[""군고구마는 칼로리가 더 높아요!"", ""볼"", ""전자레인지,그릇"", """", ""전자레인지,포크""]"
6869920,입맛돋궈주는 새콤아삭 콩나물냉채,콩나물냉채,4.0,샐러드,15.0,아무나,"{'콩나물': '200g', '맛살': '4T', '당근': '조금', '양파': '1/4개', '오이': '생략가능 1/2개', '설탕': '4.5T', '다진마늘': '0.5T', '간장': '2T', '식초': '5T', '매실액기스': '올리고당 대체가능 1T', '참기름': '적당히', '깨': '솔솔', '겨자': '1.5T'}","[""1. 콩나물은 깨끗하게 씻어서 준비해주세요"", ""2. 양파는 얇게 채썬후 찬물에 담궈 매운기를 빼주세요"", ""3. 크래미나 맛살을 3등분한후 손으로 쭉쭉 찢어주세요"", ""4. 당근과 오이도 채썰어주세요"", ""5. 물이 끓으면 소금 한스푼 넣고 콩나물을 넣고 끓여주세요 3분정도 데쳐주면 적당해요!"", ""6. 3분후 찬물에 바로 담구면 아삭해져요"", ""7. 양파도 체에 받쳐 물기를 빼주세요"", ""8. 야채를 물기빠지는 동안 소스를 만들어주세요 겨자는 취향에 맞게 조절해주시면 되요^^"", ""9. 야채와 소스를 넣고 젓가락으로 살살 섞어주세요""]","["""", """", """", """", ""3분정도 데쳐주면 적당해요!"", """", """", """", """"]"
6902079,토마토샤브샐러드♡홈파티에 좋은 고급요리,토마토샤브샐러드,5.0,샐러드,60.0,중급,"{'토마토': '3개', '소고기': '불고기감 300g', '양파': '3개', '꽈리고추': '20개', '간장': '5T', '올리브유': '5T', '식초': '5T', '설탕': '2T', '통깨': '2T'}","[""1. 재료를 준비해요."", ""2. 꽈리고추는 채 썰어 씨를 빼고 물에 담궈 매운 맛이 빠지게 30분 정도 물에 담궈놓아요. 양파도 한 개를 채 썰어 30분 물에 담궈요. 그 후, 체에 받쳐 물기를 빼주세요."", ""3. 팬바닥에 양파 2개를 편썰어 깔아주세요."", ""4. 양파 위에 소고기를 놓고 소금, 후추를 뿌려주세요. 팬의 뚜껑을 덮고 중불에서 15분 가열해요."", ""5. 소고기가 잘 익었어요. 양파즙에 익혀서 더 향긋해요."", ""6. 토마토를 썰어 동그랗게 놓고 익힌 소고기를 펴서 놓아주세요. 준비해둔 소스의 반을 고기 위에 고루 뿌리고 양파를 올려주세요."", ""7. 꽈리고추까지 층층이 올려주세요."", ""8. 나머지 소스를 뿌려주면 완성입니다.""]","["""", """", """", """", """", """", """", """"]"
6846157,새우 파스타 샐러드,새우파스타샐러드,2.0,샐러드,60.0,아무나,"{'샐러드': '야채 2줌', '새우': '6마리', '파스타': '160g', '방울토마토': '6개', '소금': '약간', '후춧가루': '약간', '올리브유': '1큰술', '식초': '2큰술', '간장': '3큰술', '쯔유': '2큰술', '올리고당': '1큰술', '매실청': '1큰술', '다진마늘': '1/4큰술', '참기름': '2큰술'}","[""1. 1. 샐러드야채와 방울토마토는 흐르는 물에 깨끗이 씻어 먹기좋은 크기로 잘라주세요."", ""2. 2. 드레싱 재료들(식초 2큰술, 간장 3큰술, 쯔유 2큰술, 올리고당 1큰술, 매실청 1큰술, 다진마늘 1/4큰술, 참기름 2큰술, 소금 약간, 후춧가루 약간)을 잘 섞어 준비해주세요."", ""3. 3. 중불로 달군 팬에 올리브유 1큰술을 두른 후 새우를 넣어 완전히 익혀주세요."", ""4. 4. 끓는물에 소금 1/4큰술과 후춧가루, 올리브유 1큰술을 넣은 후 파스타를 넣고 8-10분정도 삶은 후 찬물에 씻고 물기를 제거해주세요."", ""5. 5. 볼에 파스타면, 샐러드야채, 방울토마토, 새우, 드레싱을 모두 넣은 후 골고루 버무려 완성해주세요.""]","["""", """", """", """", """"]"
6870882,오이크래미연겨자샐러드! 여름철 먹기 딱~좋아요,오이크래미샐러드,3.0,샐러드,10.0,아무나,"{'오이': '절일 소금 약간', '크래미': '맛살은 2개 3개', '마요네즈': '1.5T', '다진마늘': '0.5T', '연겨자': '0.5-1T', '설탕': '0.5T', '참깨': '약간'}","[""1. 오이는 3등분한뒤 반으로 잘라줍니다"", ""2. 씨는 물기가 많이 생기고 무를수 있어서 제거해줍니다"", ""3. 티스푼으로 파내면 잘 파져요~"", ""4. 오이는 얇게 채썰어"", ""5. 소금에 잠시 절입니다"", ""6. 오이가 절여지는 동안"", ""7. 크래미를 꺼내어(맛살)"", ""8. 얇게 찢어줍니다"", ""9. 절여진 오이는 손으로 살짝 짜줍니다 많이 짤필요는 없어요"", ""10. 오이와 크래미를 볼에 넣고"", ""11. 마요네즈,다진마늘,설탕,연겨자를 넣어줍니다 연겨자는 처음에 0.5T만 넣고 입맛에 따라 더해주세요"", ""12. 잘섞어서 그릇에 옮기고 깨를 뿌리면 완성~""]","["""", """", """", """", """", """", """", """", """", """", ""연겨자는 처음에 0.5T만 넣고 입맛에 따라 더해주세요"", """"]"
6829386,가지말이 샐러드 만들기,가지말이샐러드,4.0,샐러드,30.0,초급,"{'가지': '3개', '닭가슴살': '200g', '파프리카': '2가지', '새싹채소': '50g', '올리브유': '3T', '간장': '1T', '다진': '마늘 0.5T', '후춧가루': '약간', '소금': '약간', '통깨': '조금'}","[""1. 가지는 약0.5cm 두께로 슬라이스 해주세요. 채칼을 사용해도 되구요."", ""2. 파프리카는 길게 채썰어주세요."", ""3. 닭가슴살은 훈제닭가슴살을 이용하거나 익혀서 잘라주세요."", ""4. 후라이팬에 기름을 두르지 않고 슬라이스한 가지를 구워주세요."", ""5. 구운 가지 위에 파프리카, 훈제닭가슴살, 새싹샐러드를 올려 돌돌 알아주면되요."", ""6. 샐러드 소스 분량대로 만들어 찍어먹어도 되고 간편하게 가지말이샐러드 위에 뿌려 나가도 된답니다.""]","["""", """", """", """", """", """"]"
2659680,상큼달콤한 맛 다이어트에 좋은 채소 바나나샐러드,채소바나나샐러드,1.0,샐러드,15.0,아무나,"{'바나나': '1/2개', '파프리카': '1/2개', '방울토마토': '6개', '양상추': '2장', '플레인': '요구르트 100g'}","[""1. 파프리카는 흐르는 물에 씻은 후 적당한 크기로 썰어 줍니다."", ""2. 방울토마토는 꼭지를 제거하고 흐르는 물에 씻은 후 물기를 제거하고 반으로 썰어 줍니다."", ""3. 양상추는 흐르는 물에 씻은 후 물기를 제거하고 적당한 크기로 뜯어 줍니다."", ""4. 바나나는 껍질을 벗겨 1개 반은 동글동글한 모양으로 썰어 줍니다. 바나나 1/2개는 플레인 요구르트와 함께 갈아서 소스로 만들어 보려고 남겨 두었어요."", ""5. 믹서기에 플레인 요구르트와 바나나 1/2개를 넣어 함께 갈아 줍니다. 상큼하면서도 달콤한 맛이 느껴집니다."", ""6. 그릇에 양상추, 파프리카, 방울토마토, 바나나를 담아 줍니다."", ""7. 6의 상큼 달콤한 소스를 뿌려 냅니다.""]","["""", """", """", """", """", """", """"]"
