RECIPE_ID,RECIPE_NM_KO,SUMRY,SERVINGS,TY_NM,COOKING_TIME,LEVEL_NM,INGREDIENT_FULL,STEP_TEXT,STEP_TIP
6876875,영화속요리 10탄 줄리앤줄리아 속 크림소스 치킨스테이크,치킨스테이크,1.0,양식,30.0,아무나,"{'닭가슴살': '2조각', '올리브유': '적당히', '파슬리': '약간', '양파': '1/2개', '버터': '1스푼', '우유': '1컵', '전분가루': '2스푼', '소금': '약간', '후춧가루': '약간', '치킨스톡': '생략가능 1개'}","[""1. ★양파 볶기 버터를 녹인 후라이팬에 양파를 볶아주세요"", ""2. ★소스만들기 양파가 투명해지면 우유와 전분가루, 치킨스톡, 후추, 소금을 넣고 졸여주세요"", ""3. ★닭가슴살 굽기 다른 후라이팬에 올리브유를 두르고 닭가슴살을 앞뒤로 구워주세요"", ""4. ★완성 접시에 닭가슴살을 담고 소스를 올리고 파슬리를 뿌려주면 완성""]","["""", """", """", """"]"
3874774,감자구이 오믈렛,감자구이오믈렛,2.0,양식,15.0,초급,"{'감자(소)': '2개', '달걀': '3개', '양파': '1/4개', '모짜렐라치즈': '조금', '슬라이스치즈': '1장', '소금': '약간', '후추': '약간'}","[""1. 감자는 0.2cm 정도의 두께로 통썰기 합니다."", ""2. 양파는 채썰어 달구어진 팬에 기름을 두르고 볶습니다."", ""3. 달걀을 깨뜨려 그릇에 담은 다음 소금, 후추로 간을 합니다."", ""4. 감자는 여러번 물에 헹군 다음 달구어진 팬에 기름을 두르고 감자를 넣고 앞, 뒤 노릇노릇하게 굽습니다."", ""5. 볶아두었던 양파를 조금 넓게 골고루 편 다음 달걀물 1/3만 붓습니다."", ""6. 그 다음 구워 두었던 감자를 놓고 달걀물을 마저 부은 다음 뚜껑 닫고 약불에서 천천히 익힙니다. 다 익어갈때쯤 모짜렐라치즈와 슬라이스치즈를 뿌립니다.""]","["""", """", """", """", """", """"]"
6842996,닭가슴살 볶음밥 그라탕,닭가슴살볶음밥그라탕,1.0,양식,15.0,초급,"{'닭가슴살': '100g', '양파': '', '새송이버섯': '', '파프리카': '', '밥': '', '버터': '조금', '피자치즈': '', '토마토': '스파게티 소스 3숟가락', '우스터소스': '1숟가락', '소금': '', '후추': ''}","[""1. 닭가슴살, 양파, 새송이버섯, 파프리카를 먹기 좋은 크기로 잘라서 준비해주세요."", ""2. 오목한 팬에 기름을 살짝 두르고 양파 먼저 볶아주세요."", ""3. 양파가 어느정도 익으면 닭가슴살을 넣고 함께 볶아주심 된답니다."", ""4. 그다음 새송이버섯, 파프리카를 넣어 함께 볶아주세요."", ""5. 어느정도 재료가 익었을때 우스터소스를 한스푼 넣어주세요. 우스터소스가 없을경우엔 간장이나 참치액 넣어도 괜찮을것 같아요."", ""6. 그리고 토마토스파게티소스를 3스푼 넣어주세요. 혹시 토마토스파게티소스가 없으면 케찹을 넣으셔도 상관없어요."", ""7. 잘 볶아진 재료에"", ""8. 밥을 넣어주세요. 그리고 버터도 조금 넣어 함께 볶아주심 볶음밥이 감칠맛이 나면서 더욱 맛있답니다."", ""9. 마지막으로 피자치즈를 넣고 볶아주세요. 생크림이나 우유를 살짝 넣어주심 휠씬 부드러운 그라탕을 맛볼수 있답니다. 여기에 소금,후추로 간을 살짝 해주심 좋아요."", ""10. 완성된 닭가슴살 볶음밥을 그릇에 담고 모짜렐라 치즈를 듬뿍 올려 오븐이나 전자렌지를 이용해 치즈를 녹여주심 된답니다. 전 전자렌지를 사용했어요 3분정도 돌렸네요. 집집마다 틀리니깐 전자렌지 사용시 중간 중간 체크해 주세요. 오븐 , 전자레인지"", ""11. 완성된 치킨 그라탕. 담백하고 고소한 치킨 그라탕. 밥을 볶을때 치즈랑 우유를 넣고 함께 볶았더니 부드럽고 좋아요. 대신 너무 뜨거워요. 호호호 불며 식혀드세요. 첨에 그냥 먹었다가 깜짝 놀랬다는요.""]","["""", """", """", """", """", """", """", """", """", ""오븐,전자레인지"", """"]"
4757767,감자오믈렛-간단한 아침요리 스페인식 감자오믈렛..,감자오믈렛,,양식,30.0,초급,"{'감자': '180g 2개', '양파': '1/4개', '햄': '80g', '달걀': '3개', '다진마늘': '1/2숟갈', '소금': '', '후춧가루': ''}","[""1. 감자 오믈렛 재료는 감자와 달걀만 있으면 되구여.. 기호껏 햄이나 베이컨을 조금 넣어두셔도 좋습니다~~ 감자는 껍질을 벗겨 반으로 썰어준후.. 얄팍하게 썰어 찬물에 담구어 전분기를 빼줍니다~"", ""2. 양파도 가늘게 채썰어주고.. 햄도 얇게 썰어줍니다~ 오믈렛을 이쁘게 만들려면.. 재료들을 얇게 썰어주는게 포인트에요~~~^^"", ""3. 달군팬에 오일을 두숟갈정도 두른후.. 감자를 먼저 넣고 달달 볶아 익혀줍니다~"", ""4. 감자가 절반정도 익으면.. 채썬 양파랑 햄도 넣고.. 소금과 후추를 넣고 볶아줍니다~"", ""5. 재료들은 푹 익혀도 되구여.. 80% 정도만 익혀도 된답니다~"", ""6. 볼에 달걀과 다진마늘을넣고.. 익혀둔 재료들을 모두 넣어 섞어줍니다~~ 이때.. 소금, 후추를 조금더 추가해주심 되구여.. 저는 저염식을 하기 때문에.. 소금, 후추 생략했습니다~~ 취향껏 해주세요~^^"", ""7. 작은 후라이팬에.. 오일을 넣고 팬을 약불에서 달군후.. 오믈렛반죽을 모두 넣고 주걱으로 윗면을 잘 다독여 모양을 정리해줍니다~~"", ""8. 오믈렛이 70% 정도 완성되면 뒤집어서 뚜껑덮어 마저 익혀주세요~~""]","["""", """", """", """", """", """", """", """"]"
6871521,[간단 자취요리] 저렴하고 맛있는 찹스테이크 만들기 / 돼지고기 찹스테이크,돼지고기찹스테이크,2.0,양식,30.0,초급,"{'목살': '400g', '파프리카': '1개', '양파': '작은거 중간크기 반개 1개', '소금': '1/2t', '후추': '티스푼에 깎아서 반정도 1/2t', '돈가스소스': '6T', '굴소스': '2T', '설탕': '1T', '케찹': '2T', '다진마늘': '1T'}","[""1. 파프리카는 속에 하얀 부분을 제거한 뒤, 먹기 좋게 썰어주세요!"", ""2. 양파도 같은 크기로 썰어주세요"", ""3. 목살도 한입 크기로 썰어주세요 도톰하게 썰면 식감은 더 좋지만 익히는데 시간이 더 걸려요!"", ""4. 고기에 소금, 후추로 밑간 해줍니다!"", ""5. 팬에 기름을 두르고 고기를 넣어주세요 강불 기름이 많은 목살이라면 생략해도 됩니다."", ""6. 최고 강불에서, 모든 겉면을 노릇하게 익혀주세요!"", ""7. 다시 중불로 줄여서 속까지 익도록 볶아줍니다"", ""8. 고기가 속까지 다 익으면 야채를 넣어주세요"", ""9. 준비한 양념들도 넣어 볶아줍니다""]","["""", """", ""도톰하게 썰면 식감은 더 좋지만 익히는데 시간이 더 걸려요!"", """", ""강불"", """", """", """", """"]"
4031003,계란치즈스크램블,계란치즈스크램블,2.0,양식,15.0,초급,"{'계란': '3개', '호박': '', '양파': '', '당근': '', '참치통조림': '', '피자치즈': '', '버터': '약간', '소금': '약간'}","[""1. 야채들은 송송다져서 사용합니다. 팬에 버터를 두르고 야채를 먼저 볶아줍니다."", ""2. 계란 3개와 참치, 소금약간을 넣고 살짝 볶아냅니다."", ""3. 볶아낸 스크램블은 내열용기에 잘 펴서 담은 후 치즈를 골고루 얹어서 전자렌지에 2~3분가량 돌려주면 됩니다. 전자레인지""]","["""", """", ""전자레인지""]"
1441518,연어 데리야끼 스테이크,데리야끼연어스테이크,2.0,양식,30.0,초급,"{'연어슬라이스': '2조각', '굵은': '소금 1/2ts', '후추': '약간', '맛술': '6Ts', '올리브': '오일 2Ts', '진간장': '6Ts', '물': '6Ts', '설탕': '1Ts', '물엿': '2Ts', '생강': '1/2톨'}","[""1. 연어에 굵은 소금, 후추, 맛술, 올리브 오일을 넣고 잠시 재워두세요."", ""2. 연어를 기름을 두르지 않은 후라이팬에 넣고 겉면만 살짝 익혀주세요."", ""3. 데리야끼 소스 재료를 넣은 냄비를 살짝 끓이고 그 안에 연어를 넣고 졸여주세요.""]","["""", """", """"]"
4841288,영양 듬뿍 토마토 오믈렛,토마토오믈렛,1.0,양식,,중급,"{'달걀': '2개', '토마토': '1/2개', '양파': '1/4개', '슬라이스햄': '1장', '슬라이스치즈': '1장', '우유': '2숟갈', '소금': '2꼬집', '올리브오일': '적당량'}","[""1. 달군팬에 올리브오일을 넣은후 양파부터 넣고 달달 볶아주다가.. 토마토와 햄을 넣고 마저 볶아주세요~~"", ""2. 토마토랑 궁합이 잘맞는 올리브오일에 열을 가해 볶아주니.. 토마토의 영양소가 더욱 증가되었겠지요~^^"", ""3. 달걀에 우유를 넣고 소금으로 간을해준후 잘 풀어줍니다~~"", ""4. 약불로 달군팬에 역시 올리브오일을 둘러주고.. 달걀물을 부어 젓가락으로 휘저어가며 두툼하고 몽글몽글하게 익혀주는데요~~ 스크램블에그같이 산산조각(?) 내면 안되구여...ㅎ 지단같이 부쳐주되 몽글몽글하면서 도톰하게 부쳐주셔야해요~~"", ""5. 불은 최대한 약불이구여~~ 계란이 반쯤 익으면 슬라이스치즈를 계란의 반쪽에만 올려줍니다~~"", ""6. 볶아놓은 토마토와 채소를 치즈위에 올려주구여~~"", ""7. 계란을 반접어 덮어줍니다~~"", ""8. 접시로 살포시 옮겨담아 허브가루 뿌려내면 완성이에요~~^^""]","["""", """", """", """", """", """", """", """"]"
6899521,입에서 살살 녹는 부드러움! 백종원 호텔식 스크램블에그 레시피,스크램블에그,2.0,양식,10.0,아무나,"{'계란': '3개', '우유': '1/2종이컵', '버터': '1T', '소금': '3꼬집', '설탕': '1/3T', '후추': '톡톡'}","[""1. 먼저 달걀 3개를 깨서 풀어 줍니다"", ""2. 그 다음 부드러움을 담당할 우유를 1/2컵(종이컵)을 넣어 줍니다.소금 3꼬집과 설탕1/3스푼도 넣고 잘 섞어줍니다 설탕과 계란이 궁합이 잘 맞고 좀더 부드러워진다네요"", ""3. 버터는 크게 한조각 준비해 달궈진 팬에 잘 녹여 주세요 만약 버터가 없으시면 식용유를 사용하셔도 되는데 버터가 훨씬 고소한 맛을 내 줍니다"", ""4. 달궈진 팬을 약불로 줄여주신 뒤에 계란물을 모두다 부어주시고 나무 젓가락으로 천천히 휘저어 몽글몽글 만들어 주세요 계란물을 체에 걸러내면 훨씬 부드러워 집니다"", ""5. 주의하실 점은 부드럽게 만들기 위해 달걀이 너무 익어서는 안되고 살짝 덜 익었다 싶을때 불을 끄셔야 부드럽답니다. 이제 접시에 담고 후추 톡톡 뿌려내시면 끝!"", ""6. 호텔조식 부럽지 않은 부드럽고 촉촉한 백주부님 호텔식 스크램블 에그 완성입니다"", ""7. 한입 먹어보니 정말 식감이 넘 부드럽고 촉촉하니 맛있어요. 짭쪼롬한 베이컨에 담백한 빵 곁들이면 진짜 호텔조식 부럽지 않을듯 합니다""]","["""", ""설탕과 계란이 궁합이 잘 맞고 좀더 부드러워진다네요"", ""만약 버터가 없으시면 식용유를 사용하셔도 되는데 버터가 훨씬 고소한 맛을 내 줍니다"", ""계란물을 체에 걸러내면 훨씬 부드러워 집니다"", """", """", """"]"
6902615,집에서 저렴하고 쉽게 소고기 찹스테이크 만들기,찹스테이크,2.0,양식,60.0,아무나,"{'소고기(등심)': '400g', '양파(소)': '1개', '파프리카': '홍색 1개', '굴소스': '2큰술', '케챱': '3큰술', '설탕': '1큰술', '레드와인': '3큰술', '버터': '약간', '올리브유': '약간', '소금': '약간', '후추': '약간', '파슬리가루': '약간'}","[""1. 신선한 소고기등심으로선택해서 올리브유를 양면에 바르고 소금,후추 로 밑간을 해서 30분정도 냉장에서 재워 주세요"", ""2. 잘 숙성된 고기를 먹기좋은 크기로 썰어 줍니다"", ""3. 야체들은 먹음직한 사이즈로 손질~ (야체들은 고기와 같은 사이즈로 깍둑썰기 하면 가장 좋은거 같아요)"", ""4. 소스를 만드는데요 굴소스2,케챱3,설탕1,레드와인3 다진마늘1스푼을 섞어 줍니다 (와인이 준비되지 않을경우 생수를 넣어도 됩니다)"", ""5. 달구어진 팬에 올리브유를 넣고 밑간해 놓은 고기를 센불에서 살짝만 볶아 주세요 육즙이 살아 있도록~"", ""6. 고기가 겉이 익으면 중불로 조절해서 버터를 넣습니다"", ""7. 버터가 녹은후에 준비해 놓은 야체들을 넣어 주시고"", ""8. 만들어 놓은 소스를 부은 후에 센불에서 볶아 줍니다 센불에서 볶듯이 익히면 야체들이 아삭아삭 하며 고기도 육즙이 빠지지 않습니다"", ""9. 센불에서 살짝만 익히면 맛있는 챱스테이크 완성 됩니다 이리보고 저리 봐도 너무 맛있어 보이는 이 녀석~ 챱스테이크 든든하게 먹고나니 주말저녁이 너무너무 행복 합니다^^ 세상 다 가진 느낌!!!""]","["""", """", """", """", """", """", """", """", """"]"
