식품코드,식품명,데이터구분코드,데이터구분명,식품기원코드,식품기원명,식품대분류코드,식품대분류명,대표식품코드,대표식품명,식품중분류코드,식품중분류명,식품소분류코드,식품소분류명,식품세분류코드,식품세분류명,영양성분함량기준량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),니코틴산(mg),니코틴아마이드(mg),비오틴 / 바이오틴(μg),비타민 B6 (mg),비타민 B12(μg),엽산(μg DFE),콜린(mg),판토텐산(mg),비타민 D2(μg),비타민 D3(μg),비타민 E(mg α-TE),알파 토코페롤(mg),베타 토코페롤(mg),감마 토코페롤(mg),델타 토코페롤(mg),알파 토코트리에놀(mg),베타 토코트리에놀(mg),감마 토코트리에놀(mg),델타 토코트리에놀(mg),비타민 K(μg),비타민 K1(μg),비타민 K2(μg),갈락토오스(g),과당(g),당알콜(g),맥아당(g),알룰로오스(g),에리스리톨(g),유당(g),자당(g),타가토스(g),포도당(g),불포화지방(g),EPA + DHA(mg),가돌레산(20:1 n-11) / 에이코센산(20:1 n-9)(mg),감마 리놀렌산(18:3 n-6)(mg),네르본산(24:1)(mg),도코사디에노산(22:2)(mg),"도코사펜타에노산(DPA, 22:5 n-3)(mg)","도코사헥사에노산(DHA, 22:6 n-3)(mg)",디호모리놀렌산(20:3 n-3)(mg),라우르산(12:0)(mg),리그노세르산(24:0)(mg),리놀레산(18:2 n-6)(g),미리스톨레산(14:1)(mg),미리스트산(14:0)(mg),박센산(18:1 n-7)(mg),베헨산(22:0)(mg),부티르산(4:0)(mg),스테아르산(18:0)(mg),스테아리돈산(18:4 n-3)(mg),아라키돈산(20:4 n-6)(mg),아라키드산(20:0)(mg),알파리놀렌산(18:3 n-3)(g),에루크산(22:1)(mg),에이코사디에노산(20:2 n-6)(mg),에이코사트리에노산(20:3 n-6)(mg),"에이코사펜타에노산(EPA, 20:5 n-3)(mg)",오메가3 지방산(g),오메가6 지방산(g),올레산(18:1 n-9)(mg),카프로산(6:0)(mg),카프르산(10:0)(mg),카프릴산(8:0)(mg),트라이데칸산(13:0)(mg),트랜스 리놀레산(18:2t)(mg),트랜스 리놀렌산(18:3t)(mg),트랜스 올레산(18:1 trans n-9)(mg),트리코산산(23:0)(mg),팔미톨레산(16:1)(mg),팔미트산(16:0)(mg),펜타데칸산(15:0)(mg),헨에이코산산(21:0)(mg),헵타데센산(17:1)(mg),헵타데칸산(17:0)(mg),구리(μg),마그네슘(mg),망간(mg),몰리브덴(μg),불소(mg),셀레늄(μg),아연(mg),염소(mg),요오드(μg),크롬(μg),아미노산(mg),필수아미노산(mg),비필수아미노산(mg),글루탐산(mg),글리신(mg),라이신(mg),류신 / 루신(mg),메티오닌(mg),발린(mg),세린(mg),시스테인(mg),아르기닌(mg),아스파르트산(mg),알라닌(mg),이소류신 / 이소루신(mg),타우린(mg),트레오닌(mg),트립토판(mg),티로신(mg),페닐알라닌(mg),프롤린(mg),히스티딘(mg),카페인(mg),토코페롤(mg),토코트리에놀(mg),출처코드,출처명,식품중량,업체명,데이터생성방법코드,데이터생성방법명,데이터생성일자,데이터기준일자
D101-004160000-0001,국밥_돼지머리,D,음식,1,가정식(분석 함량),1,밥류,1004,국밥,100416,돼지머리,10041600,해당없음,0,해당없음,100g,137,71.6,6.7,5.16,0.63,15.94,0.16,0.7,9.0,0.24,24.0,47.0,181.0,5.0,0.0,61.0,0.09,0.053,0.0,0.04,0.0,23.82,1.47,0.03,,,,,0.13,5.3,,,,,,,,,,,,,,,,,,0.16,,0.0,,,0.0,0.0,,0.0,,,30.0,0.0,,,0.0,0.0,,10.0,,0.51,0.0,70.0,180.0,,0.0,370.0,,0.0,10.0,0.02,,20.0,0.0,0.0,,,1670.0,0.0,0.0,0.0,,10.0,0.0,10.0,,160.0,1000.0,,,,,60.0,5.06,0.06,,,3.25,0.39,,,,4709.09,,,814.92,688.7,285.08,306.81,40.5,169.28,204.19,26.41,339.75,392.82,368.6,125.49,,154.72,,94.2,159.89,468.09,69.65,-,0.3,0.04,3,식품의약품안전처,900g,해당없음,1,분석,2017-12-31,2025-04-08
D101-004310000-0001,국밥_순대국밥,D,음식,1,가정식(분석 함량),1,밥류,1004,국밥,100431,순대국밥,10043100,해당없음,0,해당없음,100g,75,83.7,3.17,2.28,0.48,10.38,0.17,1.3,9.0,0.67,31.0,34.0,126.0,5.0,0.0,55.0,0.062,0.024,0.0,0.21,0.0,48.69,1.26,0.01,,,,,0.0,6.59,,,,,,,,,,,,,,,,,,0.17,,0.0,,,0.0,0.0,,0.0,,,10.0,0.0,,,0.0,0.0,,0.0,,0.24,0.0,50.0,60.0,,0.0,470.0,,0.0,10.0,0.01,,10.0,30.0,0.0,,,770.0,0.0,0.0,0.0,,0.0,0.0,10.0,,40.0,730.0,,,,,60.0,5.8,0.08,,,4.39,0.71,,,,3845.25,,,674.88,351.25,270.41,314.96,21.08,165.18,191.58,29.45,275.55,358.71,259.51,126.52,,160.67,,111.98,158.74,299.07,75.73,-,0.33,0.06,3,식품의약품안전처,900g,해당없음,1,분석,2017-12-31,2025-04-08
D101-004500000-0001,국밥_콩나물,D,음식,1,가정식(분석 함량),1,밥류,1004,국밥,100450,콩나물,10045000,해당없음,0,해당없음,100g,52,86.8,1.45,0.24,0.56,10.93,0.0,1.2,6.0,0.18,16.0,42.0,172.0,2.0,0.0,22.0,0.14,0.022,0.173,1.26,0.0,0.0,0.12,0.0,,,,,0.0,5.27,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,,0.0,,0.25,0.0,0.0,10.0,,0.0,30.0,,0.0,0.0,0.02,,0.0,0.0,0.0,,,160.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,80.0,,,,,20.0,5.45,0.11,,,2.24,0.36,,,,1089.39,,,215.34,43.91,42.67,116.09,1.48,45.34,59.09,34.96,68.61,167.27,59.56,37.12,,41.24,,47.92,59.4,25.18,24.21,-,0.33,0.04,3,식품의약품안전처,780g,해당없음,1,분석,2018-12-31,2025-04-08
D101-006000000-0001,기장밥,D,음식,1,가정식(분석 함량),1,밥류,1006,기장밥,100600,해당없음,10060000,해당없음,0,해당없음,100g,166,59.1,3.44,0.57,0.15,36.77,0.0,1.5,4.0,0.33,28.0,25.0,1.0,0.0,0.0,0.0,0.0,0.005,0.205,0.29,0.0,0.0,0.08,0.0,,,,,0.0,2.52,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,0.0,,0.0,,,0.0,0.0,,,0.0,0.0,,0.0,,0.1,0.0,10.0,0.0,,0.0,10.0,,0.0,0.0,0.01,,0.0,0.0,0.0,,,50.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,70.0,,,,,120.0,6.77,0.26,,,0.76,0.82,,,,2705.95,,,577.74,124.88,87.1,297.21,17.24,153.76,153.17,25.29,198.02,259.63,196.87,119.03,,96.37,,64.23,158.53,141.32,35.6,-,0.22,0.21,3,식품의약품안전처,200g,해당없음,1,분석,2017-12-31,2025-04-08
D101-007000000-0001,김밥,D,음식,1,가정식(분석 함량),1,밥류,1007,김밥,100700,해당없음,10070000,해당없음,0,해당없음,100g,140,69.5,4.84,4.55,1.11,19.98,0.0,1.4,36.0,0.3,55.0,118.0,307.0,113.0,3.0,1318.0,0.157,0.043,0.674,3.76,0.0,19.3,1.1,0.02,,,,,0.87,21.47,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,0.0,,0.0,,,20.0,0.0,,,0.0,10.0,,0.0,,1.2,0.0,30.0,90.0,,0.0,320.0,,0.0,10.0,0.07,,10.0,20.0,20.0,,,1510.0,0.0,0.0,0.0,,10.0,0.0,10.0,,50.0,740.0,,,,,170.0,12.33,0.25,,,6.56,0.52,,,,5029.73,,,838.52,261.54,318.59,443.53,106.81,310.85,260.75,48.34,394.28,489.4,323.84,242.01,,229.52,,159.09,251.51,227.79,123.36,-,0.98,0.09,3,식품의약품안전처,230g,해당없음,1,분석,2018-12-31,2025-04-08
D101-007070000-0001,김밥_김치,D,음식,1,가정식(분석 함량),1,밥류,1007,김밥,100707,김치,10070700,해당없음,0,해당없음,100g,130,71.2,4.3,4.03,1.29,19.17,0.29,1.8,44.0,0.31,64.0,126.0,349.0,41.0,8.0,392.0,0.207,0.044,0.0,3.43,0.0,47.38,1.06,0.02,,,,,0.91,36.62,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,0.0,,0.29,,,10.0,0.0,,,0.0,10.0,,0.0,,1.14,0.0,20.0,80.0,,0.0,290.0,,0.0,10.0,0.06,,10.0,30.0,20.0,,,1440.0,0.0,0.0,0.0,,10.0,0.0,10.0,,60.0,740.0,,,,,150.0,15.29,0.24,,,15.99,0.51,,,,4707.79,,,798.9,222.97,326.42,377.64,107.29,293.71,292.66,56.04,344.29,491.14,295.65,208.21,,215.1,,147.82,234.94,191.2,103.8,-,1.08,0.07,3,식품의약품안전처,270g,해당없음,1,분석,2018-12-31,2025-04-08
D101-007090000-0001,김밥_날치알,D,음식,1,가정식(분석 함량),1,밥류,1007,김밥,100709,날치알,10070900,해당없음,0,해당없음,100g,177,59.8,6.1,4.26,1.13,28.66,1.43,2.1,20.0,0.62,82.0,118.0,299.0,61.0,15.0,559.0,0.204,0.058,0.769,0.78,0.0,55.15,1.2,0.03,,,,,1.49,20.09,,,,,,,,,,,,,,,,,,0.23,,0.28,,,0.0,0.62,,0.3,,,30.0,0.0,,,10.0,70.0,,0.0,,1.07,0.0,40.0,80.0,,0.0,300.0,,0.0,10.0,0.06,,10.0,30.0,60.0,,,1460.0,0.0,0.0,0.0,,10.0,0.0,20.0,,80.0,850.0,,,,,190.0,14.95,0.31,,,7.71,1.03,,,,6179.82,,,1066.46,306.71,390.91,529.57,145.83,382.29,373.85,52.9,462.71,616.16,387.59,278.76,,280.67,,194.13,307.46,265.85,137.96,-,1.42,0.16,3,식품의약품안전처,260g,해당없음,1,분석,2017-12-31,2025-04-08
D101-007120000-0001,김밥_돈가스,D,음식,1,가정식(분석 함량),1,밥류,1007,김밥,100712,돈가스,10071200,해당없음,0,해당없음,100g,202,55.8,5.77,5.81,0.95,31.64,1.33,2.1,15.0,0.49,74.0,134.0,241.0,22.0,0.0,259.0,0.091,0.059,0.0,0.18,0.0,6.52,1.07,0.04,,,,,1.23,9.14,,,,,,,,,,,,,,,,,,0.38,,0.31,,,0.0,0.32,,0.32,,,10.0,20.0,,,0.0,0.0,,0.0,,2.67,0.0,20.0,80.0,,0.0,260.0,,0.0,20.0,0.24,,0.0,10.0,20.0,,,1480.0,0.0,0.0,0.0,,30.0,0.0,10.0,,10.0,770.0,,,,,130.0,14.54,0.35,,,3.88,0.93,,,,5781.88,,,1130.52,268.89,357.34,485.23,137.69,337.16,288.21,39.75,437.7,548.34,336.97,247.12,,251.15,,167.18,278.88,288.39,181.38,-,4.44,0.18,3,식품의약품안전처,320g,해당없음,1,분석,2017-12-31,2025-04-08
D101-007280000-0001,김밥_소고기,D,음식,1,가정식(분석 함량),1,밥류,1007,김밥,100728,소고기,10072800,해당없음,0,해당없음,100g,179,61.2,6.46,5.56,1.0,25.78,0.03,1.5,30.0,0.87,64.0,96.0,267.0,35.0,9.0,318.0,0.092,0.056,0.0,2.74,0.0,39.04,1.6,0.17,,,,,0.71,20.48,,,,,,,,,,,,,,,,,,0.02,,0.0,,,0.0,0.01,,0.0,,,0.0,0.0,,,0.0,0.0,,0.0,,1.16,30.0,90.0,90.0,,0.0,420.0,,0.0,10.0,0.06,,0.0,20.0,30.0,,,2040.0,0.0,0.0,0.0,,50.0,20.0,100.0,,130.0,1080.0,,,,,120.0,11.6,0.3,,,9.34,1.59,,,,6082.27,,,1119.37,297.34,439.42,502.55,146.95,331.38,348.73,128.28,398.33,569.6,416.97,264.41,,289.62,,171.41,292.24,193.75,171.91,-,1.68,0.15,3,식품의약품안전처,250g,해당없음,1,분석,2018-12-31,2025-04-08
D101-007450000-0001,김밥_참치,D,음식,1,가정식(분석 함량),1,밥류,1007,김밥,100745,참치,10074500,해당없음,0,해당없음,100g,174,64.2,7.0,7.22,1.32,20.26,0.71,1.8,51.0,0.72,73.0,123.0,335.0,66.0,10.0,680.0,0.228,0.068,0.0,3.06,0.0,33.45,1.4,0.04,,,,,0.58,25.04,,,,,,,,,,,,,,,,,,0.01,,0.55,,,0.0,0.01,,0.14,,,30.0,10.0,,,0.0,40.0,,0.0,,2.52,0.0,20.0,130.0,,0.0,390.0,,0.0,20.0,0.31,,10.0,30.0,30.0,,,2100.0,0.0,0.0,0.0,,20.0,0.0,10.0,,60.0,960.0,,,,,180.0,12.76,0.28,,,16.06,0.97,,,,6154.01,,,1047.61,305.14,472.38,498.34,160.23,341.93,346.96,120.46,401.57,586.82,405.4,274.15,,307.96,,184.34,286.17,179.28,235.28,-,5.52,0.11,3,식품의약품안전처,250g,해당없음,1,분석,2018-12-31,2025-04-08
