food_id,food_name,food_category,ref_amount,energy_kcal,protein_g,fat_g,carb_g,sugar_g,sodium_mg,chol_mg,sat_fat_g,trans_fat_g,food_weight
,가래떡,"곡류, 서류 제품",100,195,3.9,0.5,43.7,0.0,240.57,0.0,0.2,0.0,100
,깨송편,"곡류, 서류 제품",100,219,4.7,3.2,42.8,2.0,259.75,0.0,0.6,0.0,100
,꿀떡,"곡류, 서류 제품",100,228,3.7,1.7,49.5,0.3,275.08,3.96,0.3,0.0,100
,모듬찰떡,"곡류, 서류 제품",100,218,6.8,2.4,42.3,3.0,187.83,0.0,0.3,0.0,100
,백설기,"곡류, 서류 제품",100,230,3.7,1.5,50.4,0.1,210.9,0.0,0.1,0.0,100
,쑥절편,"곡류, 서류 제품",100,192,7.7,2.4,34.9,0.2,192.27,0.0,0.2,0.0,100
,약식,"곡류, 서류 제품",100,220,4.2,2.5,45.2,13.2,221.18,0.0,0.3,0.0,100
,인절미,"곡류, 서류 제품",100,242,5.6,2.2,50.1,6.3,296.82,0.0,0.2,0.0,100
,증편,"곡류, 서류 제품",100,200,3.2,1.2,44.2,3.2,283.95,0.0,0.2,0.0,100
,찐감자,"곡류, 서류 제품",100,70,2.2,0.2,15.0,0.9,3.37,0.0,0.0,0.0,200
,찐고구마,"곡류, 서류 제품",100,139,1.7,0.2,32.5,16.3,9.73,0.0,0.0,0.0,200
,찐옥수수,"곡류, 서류 제품",100,185,6.7,2.4,34.2,2.4,89.62,0.0,0.3,0.0,200
,참깨경단,"곡류, 서류 제품",100,240,6.3,6.7,38.6,0.6,202.87,0.0,1.0,0.0,100
,팥시루떡,"곡류, 서류 제품",100,224,3.8,1.8,48.1,0.0,195.21,0.0,0.1,0.0,100
,팥찹쌀떡,"곡류, 서류 제품",100,295,5.1,2.5,62.9,25.9,140.24,0.0,0.1,0.0,100
,가자미구이,구이류,100,123,18.7,5.0,0.7,0.0,315.19,84.33,0.8,0.1,200
,간장양념닭다리구이,구이류,100,247,23.0,15.6,3.5,4.4,542.92,105.67,3.4,0.1,300
,갈치구이,구이류,100,138,21.5,5.5,0.6,0.0,297.24,87.96,1.3,0.0,200
,고등어구이,구이류,100,276,23.8,20.0,0.2,0.2,605.0,56.33,5.1,0.1,200
,고등어석쇠구이,구이류,100,340,23.4,25.7,3.8,0.0,126.26,53.09,7.0,0.3,200
,굴비구이,구이류,100,194,18.7,13.3,0.1,0.2,918.13,132.07,3.4,0.1,150
,꽁치구이,구이류,100,302,24.7,21.7,2.1,0.0,258.35,45.26,4.3,2.9,200
,닭고기대파꼬치구이,구이류,100,245,17.8,14.7,10.3,1.7,416.58,76.62,4.2,0.1,170
,닭구이,구이류,100,257,26.2,13.4,7.8,0.0,750.91,119.18,3.7,0.1,340
,닭발구이,구이류,100,196,18.1,9.4,9.7,0.3,827.32,81.85,2.6,0.1,220
,돼지갈비구이,구이류,100,294,28.2,18.5,3.5,4.8,737.22,71.74,6.8,0.1,300
,돼지고기산적,구이류,100,200,29.1,8.6,1.6,0.1,585.76,56.15,2.4,0.0,170
,돼지불고기,구이류,100,225,14.9,16.6,4.1,4.6,312.57,42.83,4.5,0.1,200
,등심스테이크,구이류,100,194,30.2,8.1,0.1,0.0,134.04,84.18,3.9,0.3,200
,런천미트구이,구이류,100,303,17.6,24.4,3.3,1.7,953.75,35.7,9.0,0.2,160
,뱅어포구이,구이류,100,374,34.4,15.2,25.1,15.9,1479.12,469.76,3.0,0.1,70
,버섯구이,구이류,100,52,5.2,1.4,4.8,0.1,491.55,0.0,0.4,0.0,80
,삼겹살고추장구이,구이류,100,403,14.2,32.8,12.6,5.7,510.34,35.52,13.1,0.3,200
,삼겹살구이,구이류,100,467,22.6,41.7,0.3,0.0,576.39,39.72,12.4,0.3,200
,삼치구이,구이류,100,178,21.4,9.6,1.4,0.2,217.16,79.38,2.0,0.1,200
,새송이버섯구이,구이류,100,84,4.3,2.2,11.7,4.5,463.47,0.0,0.3,0.0,80
,새우구이,구이류,100,145,23.4,4.4,2.8,0.0,329.75,233.98,0.7,0.0,180
