food_id,food_name,food_category,ref_amount,energy_kcal,protein_g,fat_g,carb_g,sugar_g,sodium_mg,chol_mg,sat_fat_g,trans_fat_g,food_weight
,순대국밥,밥류,100,75,3.17,2.28,10.38,0.17,126,48.69,1.26,0.01,900
,콩나물국밥,밥류,100,52,1.45,0.24,10.93,0,172,0,0.12,0,780
,기장밥,밥류,100,166,3.44,0.57,36.77,0,1,0,0.08,0,200
,김밥,밥류,100,140,4.84,4.55,19.98,0,307,19.3,1.1,0.02,230
,돈가스김밥,밥류,100,202,5.77,5.81,31.64,1.33,241,6.52,1.07,0.04,320
,소고기김밥,밥류,100,179,6.46,5.56,25.78,0.03,267,39.04,1.6,0.17,250
,참치김밥,밥류,100,174,7,7.22,20.26,0.71,335,33.45,1.4,0.04,250
,치즈김밥,밥류,100,177,6.24,7.03,22.1,0.21,169,35.07,2.43,0.13,270
,낙지덮밥,밥류,100,150,5.88,3.34,24.12,2.16,212,32.45,0.37,0.01,350
,닭고기덮밥,밥류,100,125,11.4,2.18,14.82,1.07,153,92.29,0.79,0.01,410
,제육덮밥,밥류,100,202,9.43,10.77,16.86,1.98,174,27.94,3.42,0.05,470
,불고기덮밥,밥류,100,182,6.6,5.31,26.96,0.07,253,15.83,1.4,0.24,400
,보리밥,밥류,100,161,2.9,0.24,36.77,2.57,4,0,0.1,0,200
,볶음밥,밥류,100,183,5.56,2.76,33.97,0,212,29.28,1.1,0.03,350
,계란볶음밥,밥류,100,225,6.62,11.28,24.23,0.17,318,62.63,2.2,0.05,260
,김치볶음밥,밥류,100,167,5.32,9.18,15.74,13.89,470,70.41,1.43,0.04,330
,새우볶음밥,밥류,100,172,6.31,6.14,22.85,0.71,146,70.72,1.19,0.03,370
,소고기볶음밥,밥류,100,176,7.59,6.48,21.76,0.08,215,50.02,1.47,0.07,260
,참치볶음밥,밥류,100,180,4.62,3.27,32.9,0.12,631,2.76,0.49,0.02,230
,채소볶음밥,밥류,100,182,4.72,5.39,28.74,0.29,408,46.24,0.84,0.02,260
,표고버섯볶음밥,밥류,100,184,3.36,4.81,31.79,0,299,0,0.5,0.02,300
,비빔밥,밥류,100,142,6.86,4.32,18.84,0.05,232,42.26,0.95,0.06,450
,돌솥비빔밥,밥류,100,147,5.39,2.95,24.68,1.24,337,9.98,0.33,0.01,380
,육회비빔밥,밥류,100,147,6.39,3.36,22.92,4.45,446,30.56,0.77,0.01,300
,참치마요 삼각김밥,밥류,100,199,5.93,8.21,25.45,0,230,10.47,1,0.03,200
,수수밥,밥류,100,161,3.16,0.92,35.02,0.08,1,0,0.13,0,200
,알밥,밥류,100,128,4.73,5.11,15.75,2.3,430,45.98,0.59,0.03,330
,영양돌솥밥,밥류,100,184,3.43,2.87,36.06,0.63,6,0,0.61,0.01,350
,오므라이스,밥류,100,173,6.5,7.23,20.54,3.19,433,86.99,1.38,0.02,400
