ROW_NUM,RECIPE_ID,IRDNT_SN,IRDNT_NM,IRDNT_CPCTY,IRDNT_TY_CODE,IRDNT_TY_NM
1,1,1,쌀,4컵,3060001,주재료
2,1,2,안심,200g,3060001,주재료
3,1,3,콩나물,20g,3060001,주재료
4,1,4,청포묵,1/2모,3060001,주재료
5,1,5,미나리,20g,3060001,주재료
6,1,6,소금,약간,3060003,양념
7,1,7,국간장,약간,3060003,양념
8,1,8,다진파,약간,3060003,양념
9,1,9,다진마늘,약간,3060003,양념
10,1,10,참기름,약간,3060003,양념
11,1,11,고추장,1/2큰술,3060002,부재료
12,1,12,설탕,약간,3060003,양념
13,1,13,숙주,20g,3060001,주재료
14,1,14,도라지,20g,3060001,주재료
15,1,15,고사리,20g,3060001,주재료
16,1,16,계란,1개,3060001,주재료
17,1,17,양지머리,100g,3060002,부재료
18,2,18,멥쌀,1컵,3060001,주재료
19,2,19,찹쌀,2컵,3060001,주재료
20,2,20,수수,1컵,3060002,부재료
21,2,21,차조,1컵,3060002,부재료
22,2,22,콩,1/2컵,3060002,부재료
23,2,23,팥,1/2컵,3060002,부재료
24,2,24,소금,약간,3060003,양념
25,3,25,당면,50g,3060001,주재료
26,3,26,돼지고기,100g,3060001,주재료
27,3,27,표고버섯,2장,3060001,주재료
28,3,28,호박,1/4개,3060002,부재료
29,3,29,당근,1/2개,3060002,부재료
30,3,30,부추,30g,3060001,주재료
31,3,31,청고추,약간,3060002,부재료
32,3,32,홍고추,약간,3060002,부재료
33,3,33,다진파,2큰술,3060003,양념
34,3,34,다진마늘,1큰술,3060003,양념
35,3,35,진간장,4큰술,3060003,양념
36,3,36,참기름,1큰술,3060003,양념
37,3,37,소금,약간,3060003,양념
38,3,38,밥,3공기,3060002,부재료
39,3,39,통후추,약간,3060003,양념
40,4,40,쌀,2컵,3060001,주재료
41,4,41,콩나물,300g,3060001,주재료
42,4,42,쇠고기,100g,3060001,주재료
43,4,43,파,1/2개,3060003,양념
44,4,44,마늘,2쪽,3060003,양념
45,4,45,참기름,1큰술,3060003,양념
46,4,46,깨소금,1큰술,3060003,양념
47,4,47,고춧가루,조금,3060003,양념
48,4,48,진간장,4큰술,3060003,양념
49,4,49,소금,약간,3060003,양념
50,4,50,통후추,약간,3060003,양념
51,5,51,찹쌀,3컵,3060001,주재료
52,5,52,흑설탕,1컵,3060003,양념
53,5,53,계핏가루,1/2큰술,3060003,양념
54,5,54,깐밤,200g,3060002,부재료
55,5,55,대추,50g,3060002,부재료
56,5,56,잣,1큰술,3060002,부재료
57,5,57,물엿,적당량,3060003,양념
58,5,58,식물성기름,3큰술,3060003,양념
59,5,59,흰설탕,1컵,3060003,양념
60,5,60,간장,1/3컵,3060003,양념
61,5,61,물,4컵,3060003,양념
62,6,62,청동호박,1/2개,3060001,주재료
63,6,63,팥,1컵,3060002,부재료
64,6,64,찹쌀,2컵,3060001,주재료
65,6,65,물,10컵,3060003,양념
66,6,66,설탕,약간,3060003,양념
67,6,67,소금,약간,3060003,양념
68,7,68,쌀,1컵,3060001,주재료
69,7,69,흑임자,1/2컵,3060001,주재료
70,7,70,물,6컵,3060003,양념
71,7,71,소금,약간,3060003,양념
72,7,72,설탕,약간,3060003,양념
73,8,73,쇠고기,200g,3060002,부재료
74,8,74,감자,2개,3060002,부재료
75,8,75,양파,1개,3060002,부재료
76,8,76,당근,1/2개,3060002,부재료
77,8,77,완두콩,4큰술,3060002,부재료
78,8,78,카레,70g,3060001,주재료
79,8,79,우유,1/2컵,3060003,양념
80,8,80,밥,4공기,3060001,주재료
81,8,81,소금,약간,3060003,양념
82,8,82,통후추,약간,3060003,양념
83,9,83,계란,3개,3060001,주재료
84,9,84,양파,1/4개,3060002,부재료
85,9,85,물,3컵,3060003,양념
86,9,86,당근,1/3개,3060002,부재료
87,9,87,쌈장,3큰술,3060003,양념
88,9,88,후춧가루,약간,3060003,양념
89,9,89,소금,약간,3060003,양념
90,9,90,밥,2공기,3060001,주재료
91,9,91,청피망,1/2개,3060002,부재료
