RECIPE_ID,RECIPE_NM_KO,TY_NM,COOKING_TIME,SERVINGS,LEVEL_NM,IRDNT_CODE
1,나물비빔밥,밥,60,4,상,곡류
2,오곡밥,밥,60,4,상,곡류
3,잡채밥,밥,30,4,상,곡류
4,콩나물밥,밥,40,4,하,곡류
5,약식,떡/한과,60,4,상,곡류
6,호박죽,밥,30,4,상,곡류
7,흑임자죽,밥,25,4,상,
8,카레라이스,밥,30,4,하,
9,오므라이스,밥,30,4,하,곡류
10,감자수제비,만두/면류,60,4,하,밀가루
11,냉면,만두/면류,50,4,상,밀가루
12,동치미막국수,만두/면류,30,4,상,밀가루
13,열무김치냉면,만두/면류,25,4,상,밀가루
14,채소국수,만두/면류,30,2,하,밀가루
15,해물국수,만두/면류,40,4,상,밀가루
16,만둣국,만두/면류,40,4,상,밀가루
17,다시마냉국,국,20,4,하,해조류
18,두부국,국,40,4,하,
19,두부조개탕,국,30,4,하,어류/패류
20,무맑은국,국,30,4,하,채소류
21,미역국,국,30,4,하,해조류
22,미역냉국,국,30,4,하,해조류
23,생태국,국,30,4,상,어류/패류
24,연어까르파치오,나물/생채/샐러드,30,2,하,어류/패류
25,오이냉국,국,20,4,하,채소류
26,해산물샐러드,나물/생채/샐러드,30,2,상,어류/패류
27,재첩국,국,30,4,하,어류/패류
28,구운감자와도미구이,구이,60,2,상,어류/패류
29,쇠고기산적,구이,40,2,상,쇠고기류
30,쇠고기양송이볶음,볶음,40,4,상,쇠고기류
31,팥국수,만두/면류,30,4,상,밀가루
32,죽순표고버섯볶음나물,볶음,20,4,상,버섯류
33,부추표고버섯볶음,볶음,30,4,상,버섯류
34,두부드레싱과 채소샐러드,나물/생채/샐러드,30,2,하,
35,콩나물무침,밑반찬/김치,20,4,하,채소류
36,우엉조림,조림,30,4,하,채소류
37,바질토마토두부샐러드,나물/생채/샐러드,20,2,하,채소류
38,멸치볶음,볶음,20,4,하,
39,갈치무조림,조림,40,4,하,어류/패류
40,닭불고기,볶음,35,4,상,닭고기류
41,두부다시마말이,나물/생채/샐러드,30,2,상,해조류
42,팥칼국수,만두/면류,50,2,상,콩류
43,콩나물잡채,나물/생채/샐러드,30,4,상,채소류
44,양배추말이찜,찜,50,4,상,채소류
45,마늘장아찌,밑반찬/김치,20,4,하,채소류
46,오징어불고기,볶음,40,4,상,어류/패류
47,생선탕수,튀김/커틀릿,40,4,상,
48,갈비구이,구이,60,4,상,쇠고기류
49,돈까스,튀김/커틀릿,60,2,상,돼지고기류
50,갈비찜,찜,80,4,상,쇠고기류
51,제육보쌈,찜,60,4,상,
52,홍합꼬치구이,구이,30,4,상,어류/패류
53,청국장찌개,찌개/전골/스튜,30,4,하,콩류
54,순두부찌개,찌개/전골/스튜,25,4,하,콩류
55,동태찌개,찌개/전골/스튜,40,2,하,어류/패류
56,김치찌개,찌개/전골/스튜,40,4,하,채소류
57,콩비지찌개,찌개/전골/스튜,30,4,상,콩류
58,북어국,국,30,4,하,어류/패류
59,유부초밥,도시락/간식,20,1,상,
60,오색주먹밥도시락,도시락/간식,30,4,하,곡류
61,해파리냉채,나물/생채/샐러드,40,4,하,해조류
62,통배추김치,밑반찬/김치,90,4,상,채소류
63,열무김치,밑반찬/김치,40,4,상,채소류
64,오이소박이,밑반찬/김치,40,4,상,채소류
65,나박김치,밑반찬/김치,35,4,상,채소류
66,총각김치,밑반찬/김치,60,4,상,채소류
67,굴깍두기,밑반찬/김치,40,4,상,채소류
68,동치미,밑반찬/김치,40,4,상,
69,갓김치,밑반찬/김치,30,4,상,채소류
70,꽃게찌개,찌개/전골/스튜,40,4,상,어류/패류
71,감자탕,찌개/전골/스튜,60,4,상,돼지고기류
72,아구탕,국,30,4,하,어류/패류
73,조기매운탕,찌개/전골/스튜,30,4,하,어류/패류
74,알탕,찌개/전골/스튜,30,4,상,어류/패류
75,우거지된장찌개,찌개/전골/스튜,30,4,상,
76,샤브샤브,찌개/전골/스튜,30,4,상,쇠고기류
77,국수전골,찌개/전골/스튜,40,4,상,밀가루
78,낙지전골,찌개/전골/스튜,40,2,상,어류/패류
79,선지국,국,30,4,상,쇠고기류
80,콩나물국밥,밥,30,4,하,곡류
81,곰탕,국,120,4,상,쇠고기류
82,설렁탕,국,90,4,상,쇠고기류
83,도가니탕,국,180,4,상,쇠고기류
84,꼬리곰탕,국,60,4,상,쇠고기류
85,갈비탕,국,175,4,상,쇠고기류
86,부추김치,밑반찬/김치,20,4,상,채소류
87,파김치,밑반찬/김치,30,4,상,채소류
88,백김치,밑반찬/김치,60,4,상,채소류
89,깻잎장아찌,밑반찬/김치,30,4,상,채소류
90,오이지장아찌무침,밑반찬/김치,20,4,상,채소류
91,콩자반,조림,20,4,상,콩류
92,쇠고기장조림,조림,30,4,상,쇠고기류
93,연근조림,조림,30,4,상,채소류
94,해물파전,부침,40,4,상,밀가루
95,오이나물,나물/생채/샐러드,15,4,하,채소류
96,냉이된장찌개,찌개/전골/스튜,30,4,상,콩류
97,계란말이,부침,30,4,하,알류
98,닭강정,튀김/커틀릿,40,2,상,닭고기류
99,배추겉절이,밑반찬/김치,30,4,하,
100,더덕구이,구이,35,4,상,채소류
101,감자조림,조림,40,4,하,곡류
102,마른오징어조림,밑반찬/김치,30,4,하,어류/패류
103,죽순볶음,볶음,20,4,상,채소류
104,호박전,부침,30,4,하,채소류
105,탕수육,튀김/커틀릿,30,2,상,돼지고기류
106,콩국계란찜,찜,30,2,상,알류
107,불고기,볶음,20,4,상,쇠고기류
108,부추전,부침,30,4,상,채소류
109,돼지갈비구이,구이,50,4,하,돼지고기류
110,모듬초밥,밥,50,4,상,어류/패류
111,꽁치무조림,조림,25,4,하,어류/패류
112,김치적,부침,25,4,하,채소류
113,낙지볶음,볶음,30,2,상,어류/패류
114,두부김치,볶음,20,4,하,콩류
115,오믈렛,양식,20,2,하,알류
116,롤케비지(양배추말이),찜,60,2,상,채소류
117,두부미역냉채,나물/생채/샐러드,30,2,하,콩류
118,중국식볶음밥,밥,30,4,상,곡류
119,해장라면,만두/면류,30,4,하,밀가루
120,국수계란말이,만두/면류,30,2,상,알류
121,꽁치간장구이,구이,40,4,하,어류/패류
122,감자고추채볶음,볶음,30,2,하,채소류
123,가는파잡채,볶음,30,2,하,채소류
124,묵과양념장,나물/생채/샐러드,20,2,하,곡류
125,고등어살튀김과소스,튀김/커틀릿,30,2,상,어류/패류
126,가지와마른새우무침,볶음,30,2,하,어류/패류
127,채소말이샤브샤브,찌개/전골/스튜,60,2,상,쇠고기류
128,떡갈비구이,구이,50,2,상,쇠고기류
129,골뱅이무침,나물/생채/샐러드,30,2,하,어류/패류
130,두부양념조림,조림,20,2,하,콩류
131,육회,나물/생채/샐러드,30,2,하,쇠고기류
132,까르보나라스파게티,만두/면류,40,2,상,밀가루
133,삼계탕,국,60,2,상,닭고기류
134,주먹밥,도시락/간식,30,2,하,곡류
135,유부계란찜,찜,20,2,상,알류
136,속채운감자,구이,20,2,하,곡류
137,떡갈비샌드위치,샌드위치/햄버거,30,2,상,쇠고기류
138,버섯덮밥,밥,40,4,하,버섯류
139,닭고기수삼샐러드,나물/생채/샐러드,60,2,상,닭고기류
140,컬리플라워해물샐러드,나물/생채/샐러드,30,2,상,어류/패류
141,과일샐러드,나물/생채/샐러드,20,2,하,채소류
142,연어샐러드,나물/생채/샐러드,10,2,하,
143,시금치샐러드,나물/생채/샐러드,20,2,하,채소류
144,채소수프,밥,40,2,하,채소류
145,부대찌개,찌개/전골/스튜,40,2,하,가공식품류
146,곱창전골,찌개/전골/스튜,60,2,상,쇠고기류
147,아귀찜,찜,60,2,상,어류/패류
148,오렌지건포도빵,빵/과자,140,2,상,밀가루
149,삼겹살채소말이,구이,30,2,상,
150,배추속댓국,국,30,4,하,채소류
151,송편,떡/한과,60,2,상,곡류
152,빈대떡,부침,30,2,상,곡류
153,화양적,부침,30,2,상,쇠고기류
154,토란곰탕,국,30,2,상,곡류
155,쇠고기전골,찌개/전골/스튜,60,2,상,쇠고기류
156,고등어무조림,조림,30,2,하,어류/패류
157,잡채,만두/면류,25,4,상,밀가루
158,쌈장,양념장,10,4,하,
159,김치채소볶음,밑반찬/김치,30,2,상,채소류
160,닭날개튀김,튀김/커틀릿,60,2,상,닭고기류
161,오징어순대,찜,60,2,상,어류/패류
162,누룽지탕,밥,50,2,상,곡류
163,가래떡꼬치,도시락/간식,60,4,하,곡류
164,찬밥지짐이,부침,30,2,하,곡류
165,동지팥죽,밥,60,2,상,곡류
166,팥타르트,빵/과자,60,2,상,밀가루
167,고구마줄기볶음,볶음,20,4,하,채소류
168,어묵닭고기조림,조림,35,2,상,닭고기류
169,떡국,국,30,2,하,곡류
170,절편,떡/한과,60,2,상,곡류
171,수정과,음료,60,4,상,기타
172,깐풍기,튀김/커틀릿,40,2,상,닭고기류
173,팥시루떡,떡/한과,50,2,상,곡류
174,두부탕,국,30,2,상,콩류
175,쇠고기완자찜,찜,60,3,상,쇠고기류
176,해물잡채,만두/면류,40,2,상,어류/패류
177,맑은떡국,국,30,2,상,곡류
178,찰밥,밥,40,2,상,곡류
179,콩나물무밥,밥,30,2,하,곡류
180,모듬쌈밥,밥,30,2,상,채소류
181,달래된장찌개,찌개/전골/스튜,40,2,상,콩류
182,쑥버섯볶음,볶음,20,4,상,버섯류
183,닭고기명란튀김,튀김/커틀릿,40,2,상,닭고기류
184,봄동바지락볶음,볶음,30,2,상,어류/패류
185,김치동그랑땡,부침,30,2,하,채소류
186,찬밥맛탕,밥,40,4,상,곡류
187,양배춧국,국,30,2,하,채소류
188,오징어찌개,찌개/전골/스튜,40,2,하,어류/패류
189,오이피클,밑반찬/김치,40,4,하,채소류
190,영양돌솥밥,밥,40,2,상,곡류
191,시금치된장국,국,30,2,하,채소류
192,김치채소쌈,밥,30,2,상,채소류
193,찰밥주먹밥,밥,30,2,상,곡류
194,계란말이주먹밥,밥,30,2,상,곡류
195,어묵국,국,30,4,하,가공식품류
196,조개맑은국,국,30,4,하,어류/패류
197,왜된장국,국,20,2,하,콩류
198,새우만두,찜,40,2,상,어류/패류
199,잣죽,밥,40,2,상,곡류
200,고추장아찌,밑반찬/김치,30,2,상,채소류
201,김치어묵,튀김/커틀릿,40,2,상,어류/패류
202,쇠고기무국,국,40,2,상,쇠고기류
203,명란젓찌개,찌개/전골/스튜,30,2,상,어류/패류
204,육개장,국,60,2,상,쇠고기류
205,고추장스파게티,만두/면류,30,2,상,밀가루
206,해물전골,찌개/전골/스튜,30,2,상,어류/패류
207,양상추튀김,튀김/커틀릿,40,2,상,채소류
208,초교탕,국,60,2,상,닭고기류
209,삼겹살깻잎전,부침,30,2,상,돼지고기류
210,우유두부,도시락/간식,40,2,상,가공식품류
211,닭꼬치구이,구이,40,2,상,닭고기류
212,녹차수제비,만두/면류,60,2,상,밀가루
213,삼겹살치즈구이,구이,40,2,상,돼지고기류
214,갈비떡볶이,도시락/간식,40,2,상,쇠고기류
215,오징어산적,구이,30,2,상,어류/패류
216,두부오믈렛,볶음,30,2,상,알류
217,"잼(사과, 딸기, 포도)",양념장,30,2,상,과일류
218,사골탕,국,60,2,상,쇠고기류
219,감자국수,만두/면류,40,2,상,곡류
220,김치수제비,만두/면류,40,2,하,밀가루
221,오곡밥쌈밥정식,밥,40,2,하,곡류
222,오징어숙회,나물/생채/샐러드,40,2,하,어류/패류
223,짬뽕해물탕밥,밥,40,2,상,어류/패류
224,제육배추찜,찜,30,2,하,돼지고기류
225,코다리찜,찜,40,4,상,어류/패류
226,생선초밥,밥,60,4,상,어류/패류
227,버섯만두전골,만두/면류,60,4,상,버섯류
228,해물밥전,밥,30,4,상,어류/패류
229,두부스테이크,부침,40,2,하,콩류
230,두부카나페,도시락/간식,30,4,하,콩류
231,홍차계란장조림,밑반찬/김치,40,4,하,알류
232,가지된장찜,찜,30,2,하,채소류
233,닭고기카레튀김,튀김/커틀릿,40,2,상,닭고기류
234,고춧기름,양념장,30,4,하,가공식품류
235,생태매운탕,국,40,2,하,어류/패류
236,두부굴찌개,찌개/전골/스튜,30,4,상,어류/패류
237,버섯두부찌개,찌개/전골/스튜,40,2,하,콩류
238,김치주먹밥,밥,40,4,상,곡류
239,홍합탕,국,40,4,상,어류/패류
240,돼지갈비찜,찜,60,4,상,돼지고기류
241,떡볶이,도시락/간식,30,4,상,곡류
242,제육불고기,구이,50,4,상,돼지고기류
243,배추밤김치,밑반찬/김치,60,4,상,채소류
244,보쌈김치,밑반찬/김치,180,4,상,채소류
245,사골우거지탕,국,60,4,상,쇠고기류
246,찬밥전,부침,20,4,하,곡류
247,단팥죽,밥,50,2,하,곡류
