RECIPE_ID,INGREDIENT_FULL
1,"{'쌀': '4컵', '안심': '200g', '콩나물': '20g', '청포묵': '1/2모', '미나리': '20g', '소금': '약간', '국간장': '약간', '다진파': '약간', '다진마늘': '약간', '참기름': '약간', '고추장': '1/2큰술', '설탕': '약간', '숙주': '20g', '도라지': '20g', '고사리': '20g', '계란': '1개', '양지머리': '100g'}"
2,"{'멥쌀': '1컵', '찹쌀': '2컵', '수수': '1컵', '차조': '1컵', '콩': '1/2컵', '팥': '1/2컵', '소금': '약간'}"
3,"{'당면': '50g', '돼지고기': '100g', '표고버섯': '2장', '호박': '1/4개', '당근': '1/2개', '부추': '30g', '청고추': '약간', '홍고추': '약간', '다진파': '2큰술', '다진마늘': '1큰술', '진간장': '4큰술', '참기름': '1큰술', '소금': '약간', '밥': '3공기', '통후추': '약간'}"
4,"{'쌀': '2컵', '콩나물': '300g', '쇠고기': '100g', '파': '1/2개', '마늘': '2쪽', '참기름': '1큰술', '깨소금': '1큰술', '고춧가루': '조금', '진간장': '4큰술', '소금': '약간', '통후추': '약간'}"
5,"{'찹쌀': '3컵', '흑설탕': '1컵', '계핏가루': '1/2큰술', '깐밤': '200g', '대추': '50g', '잣': '1큰술', '물엿': '적당량', '식물성기름': '3큰술', '흰설탕': '1컵', '간장': '1/3컵', '물': '4컵'}"
6,"{'청동호박': '1/2개', '팥': '1컵', '찹쌀': '2컵', '물': '10컵', '설탕': '약간', '소금': '약간'}"
7,"{'쌀': '1컵', '흑임자': '1/2컵', '물': '6컵', '소금': '약간', '설탕': '약간'}"
8,"{'쇠고기': '200g', '감자': '2개', '양파': '1개', '당근': '1/2개', '완두콩': '4큰술', '카레': '70g', '우유': '1/2컵', '밥': '4공기', '소금': '약간', '통후추': '약간'}"
9,"{'계란': '3개', '양파': '1/4개', '물': '3컵', '당근': '1/3개', '쌈장': '3큰술', '후춧가루': '약간', '소금': '약간', '밥': '2공기', '청피망': '1/2개', '홍피망': '1/2개', '오이': '1/3개', '전분': '약간', '멸치': '한 줌', '다시마': '1장'}"
10,"{'밀가루': '4컵', '감자': '2개', '애호박': '1/2개', '멸치': '10마리', '실파': '2뿌리', '홍고추': '1개', '물': '1컵', '양념장': '적당량', '국간장': '약간', '참기름': '약간', '소금': '약간'}"
11,"{'냉면': '400g', '쇠고기': '300g', '동치미국물': '1개', '오이': '1개', '배': '1개', '계란': '2개', '식초': '2큰술', '설탕': '1큰술', '소금': '약간', '쇠고기육수': '4컵', '동치미무': '1개'}"
12,"{'국수': '400g', '쇠고기': '100g', '동치미무': '1/4개', '계란': '1개', '홍고추': '1개', '소금': '약간', '깨소금': '약간', '참기름': '1/2큰술', '동치미국물': '8컵', '간장': '1큰술', '설탕': '1/4작은술', '통후추': '약간'}"
13,"{'열무': '1/2단', '찹쌀가루': '2큰술', '냉면': '500g', '홍고추': '1개', '청고추': '1개', '대파': '약간', '다진마늘': '1작은술', '다진생강': '1/2작은술', '고춧가루': '4큰술', '식초': '4큰술', '설탕': '4큰술', '겨자': '약간', '물': '1컵'}"
14,"{'국수': '200g', '표고버섯': '3장', '오이': '1/2개', '계란': '1개', '부추': '1/3단', '쇠고기': '100g', '양념장': '적당량', '상추': '6장', '깻잎': '15장'}"
15,"{'국수': '400g', '돼지고기': '100g', '녹말': '1큰술', '계란흰자': '1개', '오징어': '1/2마리', '새우': '100g', '홍합': '100g', '표고버섯': '2개', '죽순': '2개', '파': '약간', '다진마늘': '약간', '멸칫국물': '8컵', '청주': '약간', '소금': '약간'}"
16,"{'김치': '1/2포기', '숙주': '150g', '표고버섯': '4장', '두부': '1/2모', '만두피': '40장', '육수': '7컵', '쇠고기': '40g', '다진파': '1큰술', '다진마늘': '1큰술', '소금': '약간', '후춧가루': '약간', '깨소금': '약간', '간장': '1큰술', '설탕': '1큰술', '참기름': '1큰술'}"
17,"{'다시마': '2장', '오이': '1/2개', '홍고추': '1개', '다진파': '1/2작은술', '다진마늘': '1/4작은술', '소금': '약간', '고춧가루': '약간', '깨소금': '약간', '물': '5컵'}"
18,"{'두부': '1모', '쇠고기': '100g', '파': '1뿌리', '다진마늘': '1큰술', '고추장': '1큰술', '참기름': '1작은술', '진간장': '조금', '소금': '조금', '후춧가루': '조금'}"
19,"{'두부': '1/2모', '콩나물': '50g', '모시조개': '200g', '북어': '30g', '홍고추': '1개', '실파': '3뿌리', '밀가루': '1큰술', '계란': '1개', '마늘': '1큰술', '소금': '약간', '후춧가루': '약간'}"
20,"{'쇠고기': '120g', '무': '400g', '실파': '20g', '마늘': '1작은술', '국간장': '1큰술', '소금': '1큰술', '참기름': '약간', '후춧가루': '약간', '물': '5컵'}"
21,"{'미역': '2컵', '다진쇠고기': '150g', '마늘': '1큰술', '식용유': '약간', '후춧가루': '약간', '국간장': '2큰술', '참기름': '2큰술', '물': '10컵'}"
22,"{'불린미역': '2컵', '오이': '1/2개', '대파': '1/2뿌리', '다진마늘': '1/2작은술', '깨소금': '약간', '소금': '약간', '고춧가루': '약간', '간장': '2큰술', '물': '10컵'}"
23,"{'생태': '1마리', '미나리': '50g', '콩나물': '50g', '무': '1/4개', '홍고추': '1개', '마늘': '2쪽', '쌀뜨물': '10컵', '소금': '약간', '후춧가루': '약간'}"
24,"{'연어': '6조각', '후춧가루': '약간', '레몬즙': '40g', '소금': '약간', '양파': '1/2개', '양송이버섯': '4개', '올리브오일': '60g', '방울토마토': '4개', '페스토소스': '만드는법 참조', '모듬채소': '약간', '차이브': '4개'}"
25,"{'오이': '2개', '파': '1작은술', '다진마늘': '1작은술', '간장': '3큰술', '식초': '3큰술', '설탕': '1큰술', '깨소금': '약간', '고춧가루': '약간', '물': '4컵', '대파': '1대', '홍고추': '1개', '소금': '약간'}"
