recipe_id,recipe_nm_ko,servings,ty_nm,cooking_time,level_nm,ingredient_full,step_text,tag
1,소세지강정,2,밑반찬,20,초급,"['비엔나 소세지 30개', '양파 1개', '캐첩 5큰술', '간장 1스푼', '설탕 1스푼', '식초 1스푼', '굴소스 1스푼', '올리고당 1스푼']","['1. 소세지 슥슥 칼집을 넣어주세요.', '2. 끓는 물에 살짝 데쳐 주세요.데쳐주면 기름기도 빠지고 칼집도 선명해진답니다.', '3. 캐첩 5스푼, 간장 1스푼, 굴소스 1스푼, 설탕 1스푼, 식초 1스푼을 넣고 양념장을 만들어 주세요.다진마늘을 약간 넣어주면 양념치킨 맛이 나요.', '4. 달군팬에 양파 등을 볶아주세요.', '5. 데친 소세지를 넣어주세요.', '6. 양념장을 넣고 달달 볶아주세요.', '7. 윤기 및 달달한 맛을 추가하기 위해 올리고당 한바퀴만 둘러주면 밥도둑 최애반찬 완성입니다.']","['소세지볶음', '쏘야볶음', '양념치킨', '술안주', '밥도둑', '밑반찬', '도시락반찬', '아이반찬', '야식', '햄']"
2,새송이버섯간장버터구이,1,밑반찬,15,아무나,"['새송이버섯 2개', '버터 30g', '어린잎채소 ', '간장 1T', '맛술 1T', '올리고당 1/2T']","['1. 버섯의 밑동과 갓을 잘라낸 뒤, 3~4등분 한다', '2. 자른버섯의 양면에 칼집을 낸다', '3. 팬에 버터를 녹인다', '4. 버섯을 굽는다', '5. 불을 약불로 줄이고 소스를 넣고 졸인다']","['버섯', '새송이버섯', '버터']"
3,고추된장박이,15,밑반찬,,,"['풋고추 10개', '된장 2T', '다진 마늘 1/3T', '송송썰은 대파 1T', '참기름 1/2T', '통깨 1/2T', '매실원액 1T', '설탕 1/3T']","['1. 풋고추는 깨끗이 씻은후 한입크기로 적당히 썰고, 파는 송송썰어서 1스푼가량 준비합니다.', '2. 분량의 양념을 넣고, 잘 섞어준후...', '3. 썰어논 고추/파와 함께.. 잘 버무려 주면 완성이랍니다. ^^']","['고추', '고추된장박이', '밥도둑', '임신이잘되는', '스트레스', '된장', '계획임신', '임신', '임신준비']"
4,떡베이컨간장조림,3,밑반찬,5,아무나,"['베이컨 ', '대파 ', '떡 ', '간장 ', '참기름 ', '물엿 ', '기름 ']","['1. 대파에 떡국떡 (가래떡, 떡볶이떡) 베이컨', '2. 기름두르고 볶듯구워요.(튀기듯하면 더 맛있습니다)', '3. 간장.물엿.참기름을 넣어 볶아요. 간장 한스푼, 물엿 넉넉히, 참기름한스푼(이런 느낌 비율로. )', '4. 볶아주며 졸입니다.', '5. 국물없게끔 졸여야 맛있어용: )', '6. 깨도 뿌리고 한번 볶아준 후 끝.', '7. 완성^^']",[]
5,고추쌈장무침,2,밑반찬,5,아무나,"['오이고추 6-7개', '쌈장 1T', '고춧가루 1/2T', '올리고당 1T', '참기름 1T', '다진마늘 1/2T', '깨 1T']","['1. 먼저 오이고추를 깨끗이 씻어 물기를 제거합니다. 매콤한것 좋아하시면 청양고추도 몇개 섞어주셔도 되요', '2. 깨끗이 씻은 고추는 먹기 좋은 사이즈로 썰어줍니다.', '3. 쌈장 1스푼에 고춧가루1/2,깨1,올리고당1,참기름1,다진마늘1/2를 넣고 잘 섞어줘요.T:성인숟가락 기준\n모든 양념은 깍아서', '4. 썰어놓은 고추에 양념을 넣고 조물조물 잘 섞어주시면 끝입니다^0^양념은 한번에 다 넣지 마시고 조금씩 넣어가며 기호에 맞게 간을 맞쳐 주세요', ""5. 초간단 5분반찬!아삭아삭 '고추쌈장무침'완성입니다."", '6. 한개 먹어보니 아삭아삭 씹히는 고추의 식감에 양념이 어우려져 참 맛있어요. 만들기 쉽고 입맛 돋구는 반찬으로 추천해요^^']","['고추', '고추된장무침', '고추쌈장무침', '반찬', '밑반찬', '오이고추무침', '오이고추쌈장무침', '오이고추', '초간단', '초간단반찬']"
6,단무지,3,밑반찬,10,초급,"['단무지 260g', '대파                                                                                손가락 길이 1줄', '통깨 1숟가락', '고추가루 1숟가락', '참기름                                                                                또는 들기름 1숟가락', '올리고당 1숟가락']","['1. 재료를 준비합니다.\n단무지 1팩, 대파를 짧게 어슷 썰어줍니다.', '2. 그릇에 통깨를 1숟가락 넣어줍니다.', '3. 꿀 뜨는 도구로 깨를 빻아줍니다.\n(통깨는 몸에 흡수가 많이 되지 않아 빻아서 드시는게 몸에 더 흡수가 되어서 으깨 먹습니다.', '4. 볼에 깨를 으깨서 넣고 고추가루1숟가락을 넣습니다.', '5. 참기름 또는 들기름 1숟가락을 넣어줍니다.\n저는 고소한 참기름을 좋아해요~ 들기름이 몸에는 더 좋다고 합니다.', '6. 올리고당을 1숟가락 조금 안되게 넣어 줍니다.', '7. 잘라 놓은 대파를 넣어 줍니다.', '8. 단무지는 입맛에 맞게 잘라줍니다.\n저는 반달 모양을 반으로 잘라줬어요.\n동그란거의 1/4 모양이라고 생각 하심 됩니다.', '9. 양념장에 물기를 짜서 넣어줍니다.', '10. 양념과 대파가 어우러지게 무쳐줍니다.']","['단무지반찬', '단무지무침', '단무지도시락', '단무지무치기']"
7,배추된장들깨무침,2,밑반찬,15,초급,"['배추 10장', '된장 1ts', '들깨 1Ts', '참기름 1ts']","['1. 배추는 한잎한잎 떼어서 깨끗히 씻어서 준비하고 반을 잘라서 준비해주세요.', '2. 끓는물에 배추 줄기부분부터 넣어서 데쳐준후 아랫잎쪽도 넣어서 데쳐주세요.', '3. 찬물에 재빨리 넣어 헹궈준후 슬쩍~짜서 물기 제거해주세요.', '4. 배추는 겹쳐서 준비한후 한입크기로 썰어서 준비', '5. 볼에 된장 1ts+참기름 1ts+들깨 1Ts를 넣고 잘섞어준후~ 어른들이 먹을꺼면 여기에 다진마늘 1/2ts을 넣으면 더 맛나지요.', '6. 된장에 배추를 넣고~ 조물조물 버무려주면 완성, 아이들이 먹을꺼라 간을 쎄게 하지 않았는데~ 어른들이 먹을꺼면 양념을 2배로 한후 무쳐주면 되지용~']",[]
8,깻잎들깨볶음,2,밑반찬,15,초급,"['깻잎 ', '대파 ', '다진마늘 1T', '국간장 1T', '참기름 1T', '들깨가루 2T', '깨 ']","['1. 깻잎 을 씻어줍니다.\n저는 자잘한 깻잎순으로 했지만. 그냥 큰 잎을 잘라서 해도 무방합니다.', '2. 끓는물에 #깻잎 을 넣고 숨이 죽으면 바로 건져 찬물에 헹궈주세요.', '3. 물기를 꼭 짜줍니다. 그 많던 #깻잎 이 한주먹밖에안되네요..^^', '4. #깻잎 이 뭉쳐지지 않게 잘 풀어주고 양념을 넣어 줍니다.\n다진마늘 1T, 국간장 1T, 참기름 1T를 넣고 조물조물 무쳐 주세요.\n이렇게 무쳐서 먹어도 맛있습니다...', '5. 파를 흰색 대부분을 썰어주고, 식용유를 1T정도 넣고 살짝만 먼저 볶아줍니다.', '6. 양념해 두었던 #깻잎 을 넣고 참기름 1T를 넣어주고 볶아줍니다. \n너무 세지 않은 불에서 볶아주세요.', '7. 어느정도 볶아지면 참깨를 뿌려주고, 들깨까루를 2T정도 골고루 뿌려 한번 더 볶아줍니다.', '8. 그럼 고소하면서 향긋한 #깻잎볶음 이 완성되요..']","['깻잎요리', '깻잎', '깻잎볶음', '깻잎들깨볶음', '밑반찬']"
9,베이컨버섯볶음,2,밑반찬,15,아무나,"['베이컨 5~ㅊ6줄', '양파 1/2개', '미니새송이버섯 7개', '다진마늘 1t', '굴소스 1t']","['1. 버섯과 양파를 잘라줍니다.', '2. 올리브유를 두르고 양파와 다진마늘을 볶아줍니다.일반 식용유로 해도 상관없습니다~', '3. 마늘향이 올라오면 베이컨을 넣어 볶아줍니다.', '4. 베이컨들이 다 떨어지면 버섯을 넣고 내가 좋아하는 식감까지 볶아줍니다.', '5. 굴소스를 넣어 줍니다! (채소의 양이 적다면 1/2스푼만 넣어주세요.)굴소스를 넣지 않아도 베이컨에 간이 되어 있어서 맛있답니다~', '6. 그릇에 담아 맛있게 먹어줍니다']","['베이컨', '버섯', '베이컨버섯볶음', '밥반찬', '술안주']"
10,꽈리고추햄볶음,3,밑반찬,10,아무나,"['꽈리고추 20개', '햄 140g', '양파 1/2개', '진간장 2T', '굴소스 1/2T', '마늘 3쪽', '올리고당 2T', '식용유 1T', '참기름 1T']","['1. 꽈리고추(20개)는 먹기좋게 3등분해서 썰어 주시구요~', '2. 햄(140g)도 썰어 주세요~', '3. 양파1/2개 마늘3쪽도(다진마늘1T)도 준비해 주시구요~', '4. 식용유1T+참기름1T두른후 양파먼저 슥슥 볶아 주시다가~', '5. 햄넣고 볶아 주세요~\n(약불에서 볶아 주세요^^)', '6. 양파가 살짝 투명해지면 다진마늘 넣어서 볶아 주시다가~', '7. 꽈리고추 넣고 볶다가~', '8. 진간장2T,굴소스1/2T,물엿이나 올리고당2T넣고 볶아 주심 끝이에용^^\n(굴소스 없으시면 간장 더넣어 주심 되셔요~)', '9. 꽈리고추는 너무 익히시면 냉장고 들어갔다 나왔을때 숨이 죽어 맛없는 비주얼이 되요~살짝 덜익었다 싶으실때까지 볶아 주시면 아삭하면서 맛있어용^~^ \n간단방법 이지만 완전 맛있고 밥반찬으로 딱 좋아용^^']","['꽈리고추햄볶음', '햄볶음', '꽈리고추볶음', '꽈리고추', '초간단', '간단반찬', '밑반찬', '저녁반찬', '저녁메뉴', '인기반찬', '햄', '인기메뉴', '밥반찬']"
