recipe_id,ingredient_full
1,"{'햄/소시지': '30개', '양파': '1개', '캐첩': '5큰술', '간장': '1스푼', '설탕': '1스푼', '식초': '1스푼', '굴': '1스푼', '올리고당': '1스푼'}"
2,{}
3,"{'풋고추': '10개', '된장': '2T', '마늘': '1/3T', '파': '1T', '참기름': '1/2T', '깨': '1/2T', '매실원액': '1T', '설탕': '1/3T'}"
4,{}
5,"{'오이': '6 7개', '쌈장': '1T', '고추가루': '1/2T', '올리고당': '1T', '참기름': '1T', '마늘': '1/2T', '깨': '1T'}"
6,"{'무': '260g', '파': '손가락 길이 1줄', '깨': '1숟가락', '고추가루': '1숟가락', '참기름': '또는 1숟가락', '올리고당': '1숟가락'}"
7,"{'배추': '10장', '된장': '1ts', '깨': '1Ts', '참기름': '1ts'}"
8,{}
9,"{'베이컨': '5~ 6줄', '양파': '1/2개', '버섯': '7개', '마늘': '1t', '굴': '1t'}"
10,"{'꽈리고추': '20개', '햄/소시지': '140g', '양파': '1/2개', '진간장': '2T', '굴': '1/2T', '마늘': '3쪽', '올리고당': '2T', '식용유': '1T', '참기름': '1T'}"
11,"{'진미채': '크게 1줌', '고추장': '1T', '고추가루': '1T', '간장': '1T', '마늘': '1T', '깨': '1T', '참기름': '1T', '올리고당': '2T', '마요네즈': '0.5T', '물': '2T'}"
12,{}
13,"{'부추': '1줌', '계란': '4개', '식용유': '2큰술', '쌀/밥': '2공기', '굴': '1큰술', '참기름': '1큰술'}"
14,"{'시금치': '1/2단', '계란': '3알', '기름': '2 3T', '파': '1줌', '소금': '3꼬집'}"
15,"{'오징어': '1마리', '꽈리고추': '1개', '간장': '3T', '맛술': '0.5T', '마늘': '1t', '생강': '1번', '설탕': '0.5T', '올리고당': '1T', '참기름': '1t', '깨': '톡톡', '물': '6T', '후추': '톡톡'}"
16,"{'청경채': '7개', '된장': '1/2숟갈', '참기름': '1/2숟갈', '마늘': '1/2숟갈', '깨': '1/2숟갈', '소금': '2꼬집'}"
17,"{'오이': '1개', '토마토': '1개', '꽃소금': '약간', '설탕': '2작은술', '깨': '2큰술', '현미식초': '2작은술', '양조간장': '1큰술', '참기름': '1작은술'}"
18,"{'메추리알': '270g', '햄/소시지': '1/2캔', '꽈리고추': '1~2개', '올리고당': '1바퀴', '마늘': '1티스푼', '참기름': '1스푼', '깨': '적당히', '간장': '6스푼', '설탕': '1.5스푼', '맛술': '2스푼', '물': '1종이컵'}"
19,"{'간장': '2숟가락', '맛술': '1숟가락', '참기름': '1/2숟가락', '깨': '1숟가락', '깻잎': '3장'}"
20,"{'감자': '중간사이즈 2개', '햄/소시지': '200g', '양파': '1/2개', '진간장': '2T', '물엿': '2T', '물': '3~4T', '식용유': '1T', '참기름': '1T'}"
21,"{'감자': '2개', '햄/소시지': '10여개', '꽈리고추': '2개', '식용유': '2스푼', '식초': '1티스푼', '간장': '2스푼', '굴': '1스푼', '물': '1/2컵', '마늘': '0.5스푼', '맛술': '2스푼', '설탕': '0.5스푼', '올리고당': '1.5스푼', '참기름': '약간', '후추': '약간', '깨': '약간'}"
22,"{'두부': '1모', '카레': '2T', '부침가루': '1T', '계란': '1개'}"
23,"{'버섯': '1봉지', '꽈리고추': '1개', '식용유': '2스푼', '마늘': '1큰술', '고추가루': '1/2스푼', '설탕': '1스푼', '미림': '2스푼', '진간장': '1스푼', '굴': '1/2스푼', '고추장': '1/3스푼', '된장': '1/3스푼', '물': '2스푼', '물엿': '1스푼'}"
24,"{'참치': '1캔', '감자': '작은거 2개', '양파': '1/2개', '파': '1줌', '꽈리고추': '1꼬집', '고추장': '1스푼', '고추가루': '1스푼', '간장': '1스푼', '마늘': '1스푼', '설탕': '1스푼', '물': '200ml', '후추': '톡톡'}"
25,"{'부추': '1줌', '베이컨': '9장'}"
26,"{'햄/소시지': '220g', '견과류': '약간', '식용유': '약간', '설탕': '1큰술', '진간장': '1큰술', '케찹': '1큰술', '마늘': '1/2큰술', '올리고당': '2큰술', '물': '2큰술'}"
27,"{'숙주': '2 3줌', '계란': '1 2개', '새우': '10 12마리', '양파': '1/2개', '꽈리고추': '1 2개', '파': '1줌', '굴': '2T', '간장': '1 1.5T', '마늘': '1T', '참기름': '0.5T', '후추': '톡톡', '깨': '약간', '청주': '1T', '소금': '톡톡'}"
28,{}
29,"{'파프리카': '1개', '버섯': '1팩', '파': '2대', '올리브유': '1숟가락', '굴': '1~2숟가락', '깨': '1작은술'}"
30,"{'계란': '3개', '들기름': '3T', '파': '1대', '국간장': '1/2T', '깨': '솔솔'}"
31,"{'봄동': '600g', '파': '2큰술', '마늘': '1큰술', '된장': '2큰술', '고추장': '1큰술', '매실액': '2큰술', '참기름': '1큰술', '깨': '1큰술', '소금': '약간'}"
32,"{'감자': '3개', '양파': '1/2개', '굴': '1스푼', '맛간장진간장': '3스푼', '설탕': '1스푼', '올리고당': '1스푼', '카놀라유': '1 2스푼', '마늘': '1/2스푼', '깨': '조금'}"
33,"{'상추': '20장', '고추가루': '2큰술', '마늘': '1큰술', '간장': '1큰술', '설탕': '1스푼', '식초': '2큰술', '참기름': '1큰술', '깨': '1큰술'}"
34,"{'마늘': '40알', '식용유': '2큰술', '물': '3큰술', '간장': '3큰술', '꿀': '1.5큰술', '참기름': '1/2큰술', '깨': '약간'}"
35,"{'감자': '1개', '참치': '1개', '양파': '1개', '파': '1대', '꽈리고추': '2개', '다시육수': '2컵', '고추장': '1큰술', '간장': '2큰술', '고추가루': '1큰술', '마늘': '1큰술', '설탕': '0.5큰술', '후추': '톡톡'}"
