recipe_id,ingredient_full
1,"['비엔나 소세지 30개', '양파 1개', '캐첩 5큰술', '간장 1스푼', '설탕 1스푼', '식초 1스푼', '굴소스 1스푼', '올리고당 1스푼']"
2,"['새송이버섯 2개', '버터 30g', '어린잎채소 ', '간장 1T', '맛술 1T', '올리고당 1/2T']"
3,"['풋고추 10개', '된장 2T', '다진 마늘 1/3T', '송송썰은 대파 1T', '참기름 1/2T', '통깨 1/2T', '매실원액 1T', '설탕 1/3T']"
4,"['베이컨 ', '대파 ', '떡 ', '간장 ', '참기름 ', '물엿 ', '기름 ']"
5,"['오이고추 67개', '쌈장 1T', '고춧가루 1/2T', '올리고당 1T', '참기름 1T', '다진마늘 1/2T', '깨 1T']"
6,"['단무지 260g', '대파 손가락 길이 1줄', '통깨 1숟가락', '고추가루 1숟가락', '참기름 또는 들기름 1숟가락', '올리고당 1숟가락']"
7,"['배추 10장', '된장 1ts', '들깨 1Ts', '참기름 1ts']"
8,"['깻잎 ', '대파 ', '다진마늘 1T', '국간장 1T', '참기름 1T', '들깨가루 2T', '깨 ']"
9,"['베이컨 56줄', '양파 1/2개', '미니새송이버섯 7개', '다진마늘 1t', '굴소스 1t']"
10,"['꽈리고추 20개', '햄 140g', '양파 1/2개', '진간장 2T', '굴소스 1/2T', '마늘 3쪽', '올리고당 2T', '식용유 1T', '참기름 1T']"
11,"['진미채 크게 1줌', '고추장 1T', '고추가루 1T', '간장 1T', '다진마늘 1T', '깨 1T', '참기름 1T', '올리고당 2T', '마요네즈 0.5T', '물 2T']"
12,"['연두부 ', '다진파 ', '다진청양고추 ', '다진마늘 ', '간장 12스푼', '고춧가루 조금', '깨소금 조금', '참기름 ']"
13,"['부추 1줌', '달걀 4개', '식용유 2큰술', '밥 2공기', '굴소스 1큰술', '참기름 1큰술']"
14,"['시금치 1/2단', '달걀 3알', '기름 23T', '다진파 1줌', '소금 3꼬집']"
15,"['작은오징어 1마리', '청양고추나꽈리고추 1개', '간장 3T', '맛술 0.5T', '다진마늘 1t', '생강가루 1번', '설탕 0.5T', '올리고당 1T', '참기름 1t', '통깨 톡톡', '물 6T', '후추 톡톡']"
16,"['청경채 7개', '된장 1/2숟갈', '참기름 1/2숟갈', '다진마늘 1/2숟갈', '깨 1/2숟갈', '소금 2꼬집']"
17,"['오이 1개', '완숙토마토 1개', '꽃소금 약간', '설탕 2작은술', '깨소금 2큰술', '현미식초 2작은술', '양조간장 1큰술', '참기름 1작은술']"
