fridge_id,ID,재료,용량,저장일시
34e8a90d-a2dd-4f49-a45c-fdad028ca4c3,jbvhea7d,깻잎(g),934,2025-10-17 06:29:54
8d6d3caf-c80c-45b6-8ccc-1e8b46cd5b66,jbvhea7d,열무(g),1048,2025-10-09 08:16:00
3964b25b-7c10-480d-b76d-787f4ac48fa4,jbvhea7d,고사리(g),975,2025-10-02 03:02:14
0bf29775-fe62-4843-88e4-90de73198475,jbvhea7d,소고기(g),1055,2025-10-11 08:55:47
e4377af5-62bf-4122-b7c3-b90da29c1443,jbvhea7d,오렌지(개),3,2025-10-07 21:31:22
6fb38cf0-b163-450e-adcc-93829bd502f2,jbvhea7d,무(g),191,2025-10-16 07:30:07
9464f7bf-dad2-4690-8dd3-a30ba0577e39,jbvhea7d,고등어(g),79,2025-09-22 18:22:20
b044de5a-76cb-4ed8-85e1-97f9181e4269,jbvhea7d,조개(g),669,2025-10-22 04:18:34
74bbe200-d8e7-41f2-ba4b-282a517020b1,jbvhea7d,피망(g),157,2025-10-15 05:26:08
fbd5230a-2ce3-4362-b702-861216132f2f,xxymh3ma,미나리(g),251,2025-10-22 00:28:00
c5fd425b-3c80-4c4a-a92f-aeb3bc5bf1cd,xxymh3ma,포도(개),2,2025-09-22 23:58:23
ae06e4d0-1cf3-4d03-8dc6-b023884f21d9,xxymh3ma,부추(g),349,2025-10-04 17:24:45
750a1d7f-54d1-488e-82ef-8202d6ebf7f1,xxymh3ma,치커리(g),913,2025-09-28 05:49:22
d2ddb760-ab6b-45fc-99a4-a9472c53dd03,xxymh3ma,모닝빵(개),6,2025-09-30 14:37:10
5993ad39-74e5-4c66-a7df-a4286784c593,xxymh3ma,토마토(개),4,2025-09-23 21:59:58
15ca161d-0bba-4b31-827c-b37fd1688309,xxymh3ma,연어(g),1052,2025-09-28 08:29:51
b9b7446f-62e9-4d24-a507-8ba2d373a5ec,xxymh3ma,홍피망(g),1169,2025-10-03 13:21:44
0eaff6e9-de4f-4922-8404-bf9187c1c1d5,xxymh3ma,닭고기(g),696,2025-10-17 16:56:14
0927132b-5a4e-4def-820c-070248f5e77f,xxymh3ma,소고기(g),726,2025-09-29 13:37:53
5801ce39-3dd6-4cbf-b715-4f9c341dc9ce,pnsfox8r,모짜렐라치즈(g),130,2025-10-20 07:35:51
87777872-1071-4d6f-9dee-ba82615bb69f,pnsfox8r,브로콜리(g),101,2025-10-07 03:47:04
5dc7d6a8-c723-47cd-8414-0ea494ae2b7a,pnsfox8r,닭육수(ml),1019,2025-10-06 14:33:18
02201ae0-6907-43a4-8a55-902e3a719600,pnsfox8r,연어(g),402,2025-10-12 17:08:27
7c2f4be0-f066-4c17-b893-57fa5da1b0d9,pnsfox8r,파(g),207,2025-09-26 01:30:18
9fc8ecfd-36c0-4309-bc55-96cd185a0767,pnsfox8r,가리비(g),405,2025-10-16 17:25:49
e58aa0bb-1574-4b17-9cb6-185021eac760,pnsfox8r,파프리카(g),1145,2025-09-29 00:54:28
52cc9a1c-b561-4269-9fba-1ae47f6bf3c7,ibvxcxf0,우엉(g),850,2025-10-05 03:54:18
790348f8-ff6c-4ef6-82a3-76aaf0e15218,ibvxcxf0,콩(g),1104,2025-10-12 16:55:32
db500cbc-dacf-4700-ac10-0bf1e304221b,ibvxcxf0,양지머리(g),1130,2025-09-27 05:58:52
59ada523-fe92-4daf-a87e-3f37eae411f7,ibvxcxf0,아귀(g),639,2025-09-30 07:25:08
18e968b5-8c6d-4f65-bf2e-6c69223733bc,ibvxcxf0,루콜라(g),741,2025-10-10 16:22:28
7800dddb-3701-48bd-9d4a-788f03234438,b2351o35,계란(개),25,2025-10-13 08:27:58
6580c3b7-767d-4df4-9b9a-dcf699f51a3c,b2351o35,연어(g),178,2025-09-22 20:16:07
78088305-e5d6-4b15-9fb7-e81fc0eb8e74,b2351o35,새우(g),643,2025-10-09 21:14:10
7fdc814d-5f2d-41d7-ac77-ef8c51e514a5,b2351o35,자몽(개),3,2025-10-18 10:11:19
db55d409-fc52-4892-8773-6338b5ff4a41,b2351o35,문어(g),176,2025-10-15 12:23:18
bb19322c-b2f0-4e3b-9e86-207f5680595d,b2351o35,애호박(g),964,2025-10-07 07:26:09
19029657-f7cb-441b-8dc9-703900aed87f,b2351o35,가리비(g),210,2025-09-30 05:23:55
606acc07-a25b-47de-b38e-b22b1f571f00,b2351o35,팽이버섯(g),207,2025-10-05 04:55:14
19ef1c46-6457-4b7b-b5c9-45e161523ed2,83q398bn,쌀(g),568,2025-10-19 19:08:30
8f672dd1-6765-4eea-be86-2f9712236119,83q398bn,방울토마토(g),288,2025-10-16 01:03:16
90161833-bba8-4145-994f-9af3d81c3121,83q398bn,순두부(g),893,2025-10-10 21:15:31
2669468c-cf49-420a-826e-f1ce162490e9,83q398bn,돼지등갈비(g),513,2025-10-11 12:47:53
d1a65821-23b6-4d10-bcc3-b5e8cafc069d,83q398bn,고사리(g),925,2025-09-29 17:22:47
55fd66f7-ee0c-4aac-8f75-60eeb02e1b6f,83q398bn,고구마(g),616,2025-09-24 21:45:11
4d2a2972-74d1-4f0b-90e7-dba2bf93d1bd,83q398bn,사과(개),1,2025-10-10 18:35:14
4d605c3a-9e8f-4558-94f4-3e23c0a30bfb,83q398bn,시금치(g),563,2025-10-05 05:13:59
e8194757-b6b5-4475-8a7f-842153cfbadd,3vy7sjol,홍합(g),320,2025-10-03 18:13:05
8da3dd70-62a2-4d93-8b88-e52fe477ebad,3vy7sjol,소면(개),3,2025-09-25 15:22:38
7fe3c88e-8f3e-4908-b3de-b00a59900f23,3vy7sjol,우유(ml),1246,2025-10-16 07:08:02
e564bdef-14f7-407a-876d-3068ee17ff81,3vy7sjol,갈치(g),367,2025-10-06 00:39:03
f52f86d4-faf7-4bc8-8a2c-5d925c064b74,3vy7sjol,갈비(g),1029,2025-10-16 14:10:33
8bfca8ab-dfe9-41aa-aa4f-7048905b795f,3vy7sjol,식빵(개),1,2025-09-24 20:48:08
